更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,筆數,索引,Page,市場,小數位數,昨量
"m_SKQuoteLib_OnNotifyQuote","2024/02/22 05:28:57.261006","UN2403","那斯達克2403","000000","000000","000000.000000","17544.00","1","-23.00","-0.13","17523.00","5","17549.00","1","17569.00","2.00","17597.00","-53.00","17385.00","159.00","212.00","17567.00","17620.00","-51.00","0","2885","20240222","18796.00","16338.00","0","4908","-1","2","2","289"
"m_SKQuoteLib_OnNotifyQuote","2024/02/22 05:28:57.261006","TX04","台指04","000000","000000","000000.000000","18703.00","1","18.00","0.10","18701.00","2","18704.00","4","18685.00","0.00","18704.00","-1.00","18666.00","37.00","38.00","18685.00","18747.00","-62.00","0","648","20240222","20553.00","16817.00","0","4850","-1","2","2","212"
"m_SKQuoteLib_OnNotifyQuote","2024/02/22 05:28:57.250004","MTX04","小台04","000000","000000","000000.000000","18704.00","1","19.00","0.10","18702.00","3","18705.00","8","18687.00","2.00","18705.00","-1.00","18664.00","40.00","41.00","18685.00","18749.00","-62.00","0","2442","20240222","20553.00","16817.00","0","4857","-1","2","2","1872"
"m_SKQuoteLib_OnNotifyQuote","2024/02/22 05:28:57.250004","UD03","道瓊03","000000","000000","000000.000000","38675.00","1","98.00","0.25","38660.00","2","38677.00","1","38621.00","44.00","38675.00","0.00","38400.00","275.00","275.00","38577.00","38630.00","-9.00","0","590","20240222","41277.00","35877.00","0","4903","0","2","2","74"
"m_SKQuoteLib_OnNotifyQuote","2024/02/22 05:28:57.250004","TX03","台指03","000000","000000","000000.000000","18715.00","1","22.00","0.12","18713.00","6","18715.00","2","18692.00","-1.00","18717.00","-2.00","18670.00","45.00","47.00","18693.00","18758.00","-66.00","0","34075","20240222","20562.00","16824.00","0","4849","1","2","2","41581"
"m_SKQuoteLib_OnNotifyQuote","2024/02/22 05:28:57.250004","MTX03","小台03","000000","000000","000000.000000","18714.00","1","21.00","0.11","18714.00","12","18715.00","1","18691.00","-2.00","18717.00","-3.00","18670.00","44.00","47.00","18693.00","18756.00","-65.00","0","57088","20240222","20562.00","16824.00","0","4856","2","2","2","50168"
"m_SKQuoteLib_OnNotifyQuote","2024/02/22 05:28:57.250004","TXO17700C4","台選03C","000000","000000","000000.000000","1030.00","1","0.00","0.00","195.00","1","0.00","0","1030.00","0.00","1030.00","0.00","1030.00","0.00","0.00","1030.00","0.00","0.00","0","1","20240222","2890.00","0.10","0","261","-1","3","2","4"
"m_SKQuoteLib_OnNotifyQuote","2024/02/22 05:28:57.250004","TXO17900C4","台選03C","000000","000000","000000.000000","0.00","0","0.00","0.00","121.00","1","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","845.00","915.00","0.00","0","0","20240222","2710.00","0.10","0","265","-1","3","2","4"
"m_SKQuoteLib_OnNotifyQuote","2024/02/22 05:28:57.250004","TXO18100C4","台選03C","000000","000000","000000.000000","670.00","1","0.00","0.00","600.00","5","700.00","6","680.00","10.00","680.00","-10.00","670.00","0.00","10.00","670.00","700.00","-20.00","0","2","20240222","2530.00","0.10","0","269","-1","3","2","18"
"m_SKQuoteLib_OnNotifyQuote","2024/02/22 05:28:57.250004","TXO18300C4","台選03C","000000","000000","000000.000000","510.00","1","-5.00","-0.97","428.00","2","540.00","1","520.00","5.00","525.00","-15.00","500.00","10.00","25.00","515.00","535.00","-15.00","0","70","20240222","2380.00","0.10","0","273","-1","3","2","34"
