建立者,時間,更新者,更新時,經過,代碼,名稱,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"GetStockByNoLONG","2022/04/01 03:21:58.580845","OnNotifyQuote","2022/04/01 03:21:58.603851","01:41:21","TSEA","加權指","000000.000000","17693.47","609","-47.09","-0.27","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17740.56","17740.56","0.00","0","227659","20220331","19514.62","15966.50","30389","-1","0","2","298044"
"GetStockByNoLONG","2022/04/01 03:21:58.580845","OnNotifyQuote","2022/04/01 03:21:58.604851","01:41:21","0050","元大台灣50","000000.000000","138.10","42","-0.45","-0.32","138.10","6","138.15","114","0.00","0.00","0.00","0.00","0.00","0.00","0.00","138.55","138.55","0.00","0","3550","20220331","152.40","124.70","0","-1","0","2","8147"
"GetStockByNoLONG","2022/04/01 03:21:58.580845","OnNotifyQuote","2022/04/01 03:21:58.604851","01:41:21","00632R","元大台灣50反1","000000.000000","5.21","491","0.02","0.39","5.20","11166","5.21","17342","5.17","-0.02","5.21","0.00","5.17","0.04","0.04","5.19","5.19","-0.02","0","77248","20220331","5.70","4.68","17","-1","0","2","158508"
"GetStockByNoLONG","2022/04/01 03:21:58.581845","OnNotifyQuote","2022/04/01 03:21:58.604851","01:41:21","2330","台積電","000000.000000","597.00","22","-3.00","-0.50","596.00","32","597.00","303","602.00","2.00","602.00","-5.00","594.00","3.00","8.00","600.00","600.00","2.00","0","22661","20220331","660.00","540.00","29545","-1","0","2","41194"
"GetStockByNoLONG","2022/04/01 03:21:58.581845","OnNotifyQuote","2022/04/01 04:59:57.852281","00:03:21","UD06","道瓊06","045955.556000","34704.00","1","-428.00","-1.22","34650.00","1","34737.00","1","35149.00","17.00","35197.00","-493.00","34608.00","96.00","589.00","35132.00","35132.00","17.00","0","1205","20220401","37591.00","32673.00","4211","0","2","2","1725"
"GetStockByNoLONG","2022/04/01 03:21:58.582845","OnNotifyQuote","2022/04/01 04:59:46.977104","00:03:32","UN2206","那斯達克2206","045644.173000","14910.00","1","-212.00","-1.40","14905.00","1","14910.00","2","15148.00","26.00","15179.00","-269.00","14860.00","50.00","319.00","15122.00","15120.00","28.00","0","3438","20220401","16180.00","14064.00","4216","1","2","2","4153"
"GetStockByNoLONG","2022/04/01 03:21:58.582845","OnNotifyQuote","2022/04/01 04:59:58.602091","00:03:21","TX04","台指04","045956.174000","17489.00","3","-145.00","-0.82","17489.00","1","17491.00","1","17620.00","-14.00","17663.00","-174.00","17468.00","21.00","195.00","17634.00","17639.00","-19.00","0","54580","20220401","19397.00","15871.00","4170","2","2","2","120960"
"GetStockByNoLONG","2022/04/01 03:21:58.582845","OnNotifyQuote","2022/04/01 04:59:58.602545","00:03:21","TX05","台指05","045929.902000","17456.00","3","-149.00","-0.85","17460.00","1","17465.00","1","17582.00","-23.00","17625.00","-169.00","17444.00","12.00","181.00","17605.00","17606.00","-24.00","0","565","20220401","19365.00","15845.00","4171","3","2","2","1321"
"GetStockByNoLONG","2022/04/01 03:21:58.583845","OnNotifyQuote","2022/04/01 04:59:59.510014","00:03:20","MTX04","小台04","050000.045000","17488.00","1","-146.00","-0.83","17487.00","8","17488.00","4","17618.00","-16.00","17662.00","-174.00","17468.00","20.00","194.00","17634.00","17635.00","-17.00","0","116354","20220401","19397.00","15871.00","4177","4","2","2","232791"
"GetStockByNoLONG","2022/04/01 03:21:58.583845","OnNotifyQuote","2022/04/01 04:59:59.482265","00:03:20","MTX05","小台05","045946.079000","17459.00","1","-146.00","-0.83","17458.00","8","17463.00","4","17595.00","-10.00","17632.00","-173.00","17444.00","15.00","188.00","17605.00","17604.00","-9.00","0","3905","20220401","19365.00","15845.00","4178","5","2","2","7953"
