建立者,時間,更新者,更新時,經過,代碼,名稱,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,最低價,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"GetStockByNoLONG","2022/03/25 00:01:34.658837","OnNotifyQuote","2022/03/25 00:01:34.737009","05:00:50","TSEA","加權指","000000.000000","17699.06","712","-32.31","-0.18","0.00","0","0.00","0","17711.17","-20.20","17711.17","17603.22","17731.37","17731.37","-20.20","0","263380","20220324","19504.51","15958.23","30461","-1","0","2","284327"
"GetStockByNoLONG","2022/03/25 00:01:34.658837","OnNotifyQuote","2022/03/25 00:01:34.705742","05:00:50","0050","元大台灣50","000000.000000","138.00","24","-0.10","-0.07","137.95","7","138.00","20","137.50","-0.60","138.10","137.05","138.10","138.10","-0.60","0","4265","20220324","151.90","124.30","0","-1","0","2","10253"
"GetStockByNoLONG","2022/03/25 00:01:34.658837","OnNotifyQuote","2022/03/25 00:01:34.737009","05:00:50","00632R","元大台灣50反1","000000.000000","5.20","142","0.00","0.00","5.20","12020","5.21","14516","5.23","0.03","5.24","5.19","5.20","5.20","0.03","0","85795","20220324","5.72","4.68","17","-1","0","2","141556"
"GetStockByNoLONG","2022/03/25 00:01:34.658837","OnNotifyQuote","2022/03/25 00:01:34.721341","05:00:50","2330","台積電","000000.000000","591.00","60","1.00","0.17","590.00","170","591.00","35","587.00","-3.00","592.00","585.00","590.00","590.00","-3.00","0","20021","20220324","649.00","531.00","29619","-1","0","2","25844"
"GetStockByNoLONG","2022/03/25 00:01:34.658837","OnNotifyQuote","2022/03/25 04:57:45.755411","00:04:39","UD06","道瓊06","044454.150000","34641.00","1","282.00","0.82","34621.00","1","34639.00","1","34339.00","-20.00","34646.00","34250.00","34359.00","34350.00","-11.00","0","1597","20220325","36764.00","31954.00","4211","0","2","2","2019"
"GetStockByNoLONG","2022/03/25 00:01:34.658837","OnNotifyQuote","2022/03/25 04:59:45.411908","00:02:39","UN2206","那斯達克2206","045945.127000","14759.00","1","221.00","1.52","14755.00","2","14760.00","4","14535.00","-3.00","14770.00","14435.00","14538.00","14538.00","-3.00","0","3082","20220325","15555.00","13521.00","4216","1","2","2","4494"
"GetStockByNoLONG","2022/03/25 00:01:34.658837","OnNotifyQuote","2022/03/25 05:00:00.225036","00:02:24","TX04","台指04","045959.585000","17755.00","1","86.00","0.49","17753.00","1","17758.00","3","17655.00","-14.00","17762.00","17620.00","17669.00","17671.00","-16.00","0","49115","20220325","19435.00","15903.00","4170","2","2","2","131479"
"GetStockByNoLONG","2022/03/25 00:01:34.658837","OnNotifyQuote","2022/03/25 05:00:00.225036","00:02:24","TX05","台指05","045906.986000","17722.00","1","82.00","0.46","17719.00","1","17727.00","3","17629.00","-11.00","17730.00","17590.00","17640.00","17640.00","-11.00","0","519","20220325","19404.00","15876.00","4171","3","2","2","1055"
"GetStockByNoLONG","2022/03/25 00:01:34.658837","OnNotifyQuote","2022/03/25 05:00:00.255436","00:02:24","MTX04","小台04","045959.936000","17752.00","1","83.00","0.47","17752.00","28","17756.00","4","17658.00","-11.00","17761.00","17620.00","17669.00","17670.00","-12.00","0","102935","20220325","19435.00","15903.00","4177","4","2","2","260005"
"GetStockByNoLONG","2022/03/25 00:01:34.658837","OnNotifyQuote","2022/03/25 04:59:59.381212","00:02:25","MTX05","小台05","045957.574000","17720.00","1","80.00","0.45","17719.00","4","17722.00","1","17629.00","-11.00","17728.00","17590.00","17640.00","17637.00","-8.00","0","3005","20220325","19404.00","15876.00","4178","5","2","2","7636"
