更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,筆數,索引,Page,市場,小數位數,昨量
"m_SKQuoteLib_OnNotifyQuote","2023/06/27 05:35:48.567537","UN2309","那斯達克2309","000000","000000","000000.000000","14873.00","1","-219.00","-1.45","14876.00","1","14890.00","3","15067.00","-25.00","15151.00","-278.00","14862.00","11.00","289.00","15092.00","0.00","0.00","0","3361","20230627","16148.00","14036.00","0","4637","-1","2","2","2981"
"m_SKQuoteLib_OnNotifyQuote","2023/06/27 05:35:48.561535","TX08","台指08","000000","000000","000000.000000","16757.00","1","-83.00","-0.49","16754.00","8","16759.00","4","16834.00","-6.00","16862.00","-105.00","16757.00","0.00","105.00","16840.00","0.00","0.00","0","361","20230627","18524.00","15156.00","0","4583","-1","2","2","872"
"m_SKQuoteLib_OnNotifyQuote","2023/06/27 05:35:48.561535","MTX08","小台08","000000","000000","000000.000000","16758.00","1","-82.00","-0.49","16754.00","2","16757.00","1","16829.00","-11.00","16865.00","-107.00","16751.00","7.00","114.00","16840.00","0.00","0.00","0","2546","20230627","18524.00","15156.00","0","4590","-1","2","2","4422"
"m_SKQuoteLib_OnNotifyQuote","2023/06/27 05:35:48.567537","UD09","道瓊09","000000","000000","000000.000000","34003.00","1","-40.00","-0.12","33955.00","5","34054.00","6","34043.00","0.00","34060.00","-57.00","33858.00","145.00","202.00","34043.00","0.00","0.00","0","1244","20230627","36426.00","31660.00","0","4632","0","2","2","1217"
"m_SKQuoteLib_OnNotifyQuote","2023/06/27 05:35:48.561535","TX07","台指07","000000","000000","000000.000000","16794.00","1","-86.00","-0.51","16793.00","8","16795.00","14","16872.00","-8.00","16906.00","-112.00","16790.00","4.00","116.00","16880.00","16919.00","-47.00","0","33996","20230627","18568.00","15192.00","0","4582","1","2","2","105236"
"m_SKQuoteLib_OnNotifyQuote","2023/06/27 05:35:48.561535","MTX07","小台07","000000","000000","000000.000000","16793.00","1","-87.00","-0.52","16793.00","2","16795.00","2","16872.00","-8.00","16906.00","-113.00","16790.00","3.00","116.00","16880.00","16923.00","-51.00","0","69484","20230627","18568.00","15192.00","0","4589","2","2","2","178133"
"m_SKQuoteLib_OnNotifyQuote","2023/06/27 05:35:48.567537","TXO16300G3","台選07C","000000","000000","000000.000000","595.00","1","-55.00","-8.46","350.00","2","0.00","0","625.00","-25.00","625.00","-30.00","595.00","0.00","30.00","650.00","0.00","0.00","0","3","20230627","2350.00","0.10","0","5115","-1","3","2","39"
"m_SKQuoteLib_OnNotifyQuote","2023/06/27 05:35:48.567537","TXO16500G3","台選07C","000000","000000","000000.000000","430.00","1","-62.00","-12.60","305.00","1","468.00","1","472.00","-20.00","499.00","-69.00","430.00","0.00","69.00","492.00","0.00","0.00","0","26","20230627","2190.00","0.10","0","5119","-1","3","2","68"
"m_SKQuoteLib_OnNotifyQuote","2023/06/27 05:35:48.566536","TXO16700G3","台選07C","000000","000000","000000.000000","291.00","1","-58.00","-16.62","205.00","1","299.00","1","331.00","-18.00","357.00","-66.00","291.00","0.00","66.00","349.00","0.00","0.00","0","62","20230627","2050.00","0.10","0","5123","-1","3","2","255"
"m_SKQuoteLib_OnNotifyQuote","2023/06/27 05:35:48.566536","TXO16900G3","台選07C","000000","000000","000000.000000","184.00","1","-50.00","-21.37","178.00","4","188.00","1","220.00","-14.00","240.00","-56.00","184.00","0.00","56.00","234.00","0.00","0.00","0","298","20230627","1930.00","0.10","0","5127","-1","3","2","1135"
"m_SKQuoteLib_OnNotifyQuote","2023/06/27 05:35:48.567537","TXO17100G3","台選07C","000000","000000","000000.000000","108.00","2","-35.00","-24.48","107.00","1","108.00","3","137.00","-6.00","149.00","-41.00","107.00","1.00","42.00","143.00","0.00","0.00","0","638","20230627","1840.00","0.10","0","5131","-1","3","2","1773"
"m_SKQuoteLib_OnNotifyQuote","2023/06/27 05:35:48.566536","TXO17300G3","台選07C","000000","000000","000000.000000","61.00","1","-20.00","-24.69","61.00","4","63.00","2","77.00","-4.00","84.00","-23.00","61.00","0.00","23.00","81.00","0.00","0.00","0","1247","20230627","1780.00","0.10","0","5135","-1","3","2","2700"
"m_SKQuoteLib_OnNotifyQuote","2023/06/27 05:35:48.567537","TXO17500G3","台選07C","000000","000000","000000.000000","31.00","2","-12.00","-27.91","30.50","1","33.50","6","41.00","-2.00","42.50","-11.50","31.00","0.00","11.50","43.00","0.00","0.00","0","1109","20230627","1740.00","0.10","0","5139","-1","3","2","5251"
"m_SKQuoteLib_OnNotifyQuote","2023/06/27 05:35:48.566536","TXO16300S3","台選07P","000000","000000","000000.000000","78.00","2","7.00","9.86","77.00","1","82.00","5","75.00","4.00","83.00","-5.00","64.00","14.00","19.00","71.00","0.00","0.00","0","521","20230627","1770.00","0.10","0","5114","-1","3","2","1477"
"m_SKQuoteLib_OnNotifyQuote","2023/06/27 05:35:48.552533","TXO16500S3","台選07P","000000","000000","000000.000000","125.00","1","13.00","11.61","115.00","1","126.00","1","116.00","4.00","128.00","-3.00","100.00","25.00","28.00","112.00","0.00","0.00","0","528","20230627","1810.00","0.10","0","5118","-1","3","2","1789"
