更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,筆數,索引,Page,市場,小數位數,昨量
"m_SKQuoteLib_OnNotifyQuote","2024/12/17 05:11:49.276261","UN2503","那斯達克2503","000000","000000","000000.000000","22441.00","1","345.00","1.56","22403.00","1","22430.00","1","22102.00","6.00","22452.00","-11.00","22101.00","340.00","351.00","22096.00","22100.00","2.00","0","617","20241217","23642.00","20550.00","0","5449","-1","2","2","290"
"m_SKQuoteLib_OnNotifyQuote","2024/12/17 05:11:49.276261","TX02","台指02","000000","000000","000000.000000","23252.00","1","195.00","0.85","23194.00","1","23203.00","1","23104.00","47.00","23252.00","0.00","23092.00","160.00","160.00","23057.00","23123.00","-19.00","0","43","20241217","25362.00","20752.00","0","5372","-1","2","2","77"
"m_SKQuoteLib_OnNotifyQuote","2024/12/17 05:11:49.276261","MTX02","小台02","000000","000000","000000.000000","23200.00","1","143.00","0.62","23197.00","1","23209.00","1","23085.00","28.00","23250.00","-50.00","23066.00","134.00","184.00","23057.00","23236.00","-151.00","0","416","20241217","25362.00","20752.00","0","5379","-1","2","2","1134"
"m_SKQuoteLib_OnNotifyQuote","2024/12/17 05:11:49.276261","UD03","道瓊03","000000","000000","000000.000000","44250.00","6","-133.00","-0.30","44226.00","1","44365.00","4","44381.00","-2.00","44500.00","-250.00","44250.00","0.00","250.00","44383.00","44373.00","8.00","0","113","20241217","47489.00","41277.00","0","5444","0","2","2","165"
"m_SKQuoteLib_OnNotifyQuote","2024/12/17 05:11:49.276261","TX01","台指01","000000","000000","000000.000000","23156.00","1","142.00","0.62","23147.00","3","23150.00","1","23044.00","30.00","23208.00","-52.00","23010.00","146.00","198.00","23014.00","23192.00","-148.00","0","3253","20241217","25315.00","20713.00","0","5371","1","2","2","13840"
"m_SKQuoteLib_OnNotifyQuote","2024/12/17 05:11:49.260635","MTX01","小台01","000000","000000","000000.000000","23156.00","1","142.00","0.62","23153.00","1","23157.00","1","23011.00","-3.00","23209.00","-53.00","23010.00","146.00","199.00","23014.00","23191.00","-180.00","0","11416","20241217","25315.00","20713.00","0","5378","2","2","2","28385"
"m_SKQuoteLib_OnNotifyQuote","2024/12/17 05:11:49.276261","TXO22300A5","台選01C","000000","000000","000000.000000","0.00","0","0.00","0.00","16.00","3","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","925.00","0.00","0.00","0","0","20241217","3220.00","0.10","0","6545","-1","3","2","0"
"m_SKQuoteLib_OnNotifyQuote","2024/12/17 05:11:49.276261","TXO22500A5","台選01C","000000","000000","000000.000000","855.00","1","75.00","9.62","705.00","2","0.00","0","855.00","75.00","855.00","0.00","855.00","0.00","0.00","780.00","930.00","-75.00","0","1","20241217","3080.00","0.10","0","6549","-1","3","2","2"
"m_SKQuoteLib_OnNotifyQuote","2024/12/17 05:11:49.276261","TXO22700A5","台選01C","000000","000000","000000.000000","675.00","3","30.00","4.65","16.00","3","790.00","2","675.00","30.00","675.00","0.00","675.00","0.00","0.00","645.00","720.00","-45.00","0","3","20241217","2940.00","0.10","0","6553","-1","3","2","7"
"m_SKQuoteLib_OnNotifyQuote","2024/12/17 05:11:49.291887","TXO22900A5","台選01C","000000","000000","000000.000000","575.00","1","55.00","10.58","488.00","1","650.00","1","575.00","55.00","575.00","0.00","575.00","0.00","0.00","520.00","635.00","-60.00","0","1","20241217","2820.00","0.10","0","6557","-1","3","2","18"
"m_SKQuoteLib_OnNotifyQuote","2024/12/17 05:11:49.276261","TXO23100A5","台選01C","000000","000000","000000.000000","472.00","1","66.00","16.26","423.00","1","500.00","1","430.00","24.00","483.00","-11.00","409.00","63.00","74.00","406.00","449.00","-19.00","0","40","20241217","2700.00","0.10","0","6561","-1","3","2","70"
"m_SKQuoteLib_OnNotifyQuote","2024/12/17 05:11:49.291887","TXO23300A5","台選01C","000000","000000","000000.000000","368.00","1","58.00","18.71","316.00","1","393.00","5","315.00","5.00","369.00","-1.00","308.00","60.00","61.00","310.00","365.00","-50.00","0","60","20241217","2610.00","0.10","0","6565","-1","3","2","146"
"m_SKQuoteLib_OnNotifyQuote","2024/12/17 05:11:49.291887","TXO23500A5","台選01C","000000","000000","000000.000000","270.00","5","38.00","16.38","268.00","1","320.00","1","238.00","6.00","290.00","-20.00","232.00","38.00","58.00","232.00","265.00","-27.00","0","85","20241217","2530.00","0.10","0","6569","-1","3","2","439"
"m_SKQuoteLib_OnNotifyQuote","2024/12/17 05:11:49.276261","TXO22300M5","台選01P","000000","000000","000000.000000","160.00","1","-54.00","-25.23","150.00","1","176.00","2","206.00","-8.00","210.00","-50.00","160.00","0.00","50.00","214.00","175.00","31.00","0","29","20241217","2510.00","0.10","0","6544","-1","3","2","78"
"m_SKQuoteLib_OnNotifyQuote","2024/12/17 05:11:49.276261","TXO22500M5","台選01P","000000","000000","000000.000000","201.00","1","-65.00","-24.44","201.00","5","216.00","1","267.00","1.00","268.00","-67.00","201.00","0.00","67.00","266.00","224.00","43.00","0","83","20241217","2560.00","0.10","0","6548","-1","3","2","150"
