建立者,時間,更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"CreateQuote","2022/04/18 13:09:51.242760","UpdateQuote","2022/04/18 13:33:13.935277","TSEA","加權指","000000","000000","000000.000000","16898.87","13154","-105.31","-0.62","0.00","0","0.00","0","16958.66","-45.52","16999.36","-100.49","16845.51","53.36","153.85","17004.18","17004.18","-45.52","0","228800","20220418","18704.60","15303.76","30264","-1","0","2","268913"
"CreateQuote","2022/04/18 13:09:51.242760","UpdateQuote","2022/04/18 13:44:59.434295","0050","元大台灣50","000000","000000","000000.000000","131.55","316","-0.70","-0.53","131.55","176","131.60","222","132.00","-0.25","132.25","-0.70","131.15","0.40","1.10","132.25","132.25","-0.25","0","17863","20220418","145.45","119.05","0","-1","0","2","20628"
"CreateQuote","2022/04/18 13:09:51.242760","UpdateQuote","2022/04/18 13:44:59.583399","00632R","元大台灣50反1","000000","000000","000000.000000","5.43","3142","0.03","0.56","5.43","692","5.44","17425","5.43","0.03","5.45","-0.02","5.39","0.04","0.06","5.40","5.40","0.03","0","127179","20220418","5.94","4.86","17","-1","0","2","191899"
"CreateQuote","2022/04/18 13:09:51.242760","UpdateQuote","2022/04/18 13:44:58.371459","TX06","台指06","000000","000000","000000.000000","16811.00","1","-104.00","-0.61","16806.00","2","16809.00","1","16820.00","-95.00","16922.00","-111.00","16780.00","31.00","142.00","16915.00","16922.00","-102.00","0","165","20220418","18606.00","15224.00","4164","-1","2","2","140"
"CreateQuote","2022/04/18 13:09:51.242760","UpdateQuote","2022/04/18 13:44:58.254615","MTX06","小台06","000000","000000","000000.000000","16807.00","1","-108.00","-0.64","16804.00","5","16807.00","1","16840.00","-75.00","16923.00","-116.00","16777.00","30.00","146.00","16915.00","16926.00","-86.00","0","1594","20220418","18606.00","15224.00","4171","-1","2","2","1357"
"CreateQuote","2022/04/18 13:09:51.242760","UpdateQuote","2022/04/18 13:45:08.233707","2330","台積電","133000","000000","133000.000000","561.00","1830","-1.00","-0.18","561.00","137","562.00","674","559.00","-3.00","566.00","-5.00","558.00","3.00","8.00","562.00","562.00","-3.00","0","15693","20220418","618.00","506.00","29420","0","0","2","28129"
"CreateQuote","2022/04/18 13:09:51.242760","UpdateQuote","2022/04/18 13:44:39.139605","UD06","道瓊06","134440","339000","134440.339000","34265.00","1","-95.00","-0.28","34260.00","1","34352.00","2","34229.00","-131.00","34296.00","-31.00","34197.00","68.00","99.00","34360.00","34377.00","-148.00","0","345","20220418","36765.00","31955.00","4201","1","2","2","42"
"CreateQuote","2022/04/18 13:09:51.242760","UpdateQuote","2022/04/18 13:44:45.885260","UN2206","那斯達克2206","134447","048000","134447.048000","13780.00","1","-115.00","-0.83","13750.00","3","13781.00","1","13745.00","-150.00","13780.00","0.00","13735.00","45.00","45.00","13895.00","13871.00","-126.00","0","510","20220418","14867.00","12923.00","4206","2","2","2","194"
"CreateQuote","2022/04/18 13:09:51.242760","UpdateQuote","2022/04/18 13:44:58.370448","TX05","台指05","134458","138000","134458.138000","16845.00","1","-102.00","-0.60","16844.00","1","16845.00","1","16873.00","-74.00","16962.00","-117.00","16811.00","34.00","151.00","16947.00","16960.00","-87.00","0","12154","20220418","18641.00","15253.00","4163","3","2","2","5590"
"CreateQuote","2022/04/18 13:09:51.242760","UpdateQuote","2022/04/18 13:44:58.123361","MTX05","小台05","134458","012000","134458.012000","16844.00","1","-103.00","-0.61","16844.00","5","16846.00","5","16878.00","-69.00","16961.00","-117.00","16812.00","32.00","149.00","16947.00","16958.00","-80.00","0","24810","20220418","18641.00","15253.00","4170","4","2","2","11977"
