建立者,時間,更新者,更新時,經過,代碼,名稱,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"CreateQuote","2022/04/06 13:19:52.686223","UpdateQuote","2022/04/06 13:33:15.839176","00:15:17","TSEA","加權指","000000.000000","17522.50","22221","-103.09","-0.58","0.00","0","0.00","0","17484.19","-141.40","17528.99","-6.49","17381.07","141.43","147.92","17625.59","17625.59","-141.40","0","261870","20220406","19388.15","15863.03","29849","-1","0","2","229376"
"CreateQuote","2022/04/06 13:19:52.689194","UpdateQuote","2022/04/06 13:45:00.475171","00:03:33","0050","元大台灣50","000000.000000","136.25","386","-0.70","-0.51","136.20","123","136.25","74","135.25","-1.70","136.35","-0.10","135.00","1.25","1.35","136.95","136.95","-1.70","0","11521","20220406","150.60","123.30","0","-1","0","2","7683"
"CreateQuote","2022/04/06 13:19:52.689194","UpdateQuote","2022/04/06 13:45:00.676176","00:03:33","00632R","元大台灣50反1","000000.000000","5.25","1003","0.02","0.38","5.25","13837","5.26","13214","5.28","0.05","5.30","-0.05","5.24","0.01","0.06","5.23","5.23","0.05","0","86646","20220406","5.75","4.71","17","-1","0","2","95515"
"CreateQuote","2022/04/06 13:19:52.690194","UpdateQuote","2022/04/06 13:45:09.306567","00:03:24","2330","台積電","000000.000000","578.00","7935","-11.00","-1.87","578.00","83","579.00","65","578.00","-11.00","580.00","-2.00","575.00","3.00","5.00","589.00","589.00","-11.00","0","37499","20220406","647.00","531.00","29004","-1","0","2","29679"
"CreateQuote","2022/04/06 13:19:52.691198","UpdateQuote","2022/04/06 13:44:44.602415","00:03:49","UD06","道瓊06","134444.593000","34565.00","1","-147.00","-0.42","34563.00","1","34580.00","2","34717.00","5.00","34814.00","-249.00","34444.00","121.00","370.00","34712.00","34680.00","37.00","0","1852","20220406","37141.00","32283.00","44","0","2","2","220"
"CreateQuote","2022/04/06 13:19:52.692391","UpdateQuote","2022/04/06 13:44:44.253169","00:03:49","UN2206","那斯達克2206","134444.270000","14821.00","3","-90.00","-0.60","14819.00","1","14850.00","1","14945.00","34.00","14960.00","-139.00","14729.00","92.00","231.00","14911.00","14860.00","85.00","0","4016","20220406","15954.00","13868.00","49","1","2","2","536"
"CreateQuote","2022/04/06 13:19:52.693199","UpdateQuote","2022/04/06 13:44:59.834183","00:03:33","TX04","台指04","134459.820000","17506.00","1","-51.00","-0.29","17506.00","6","17508.00","13","17568.00","11.00","17624.00","-118.00","17327.00","179.00","297.00","17557.00","17520.00","48.00","0","138241","20220406","19312.00","15802.00","1","2","2","2","81946"
"CreateQuote","2022/04/06 13:19:52.693199","UpdateQuote","2022/04/06 13:44:59.587198","00:03:34","TX05","台指05","134459.467000","17483.00","1","-44.00","-0.25","17479.00","6","17483.00","13","17542.00","15.00","17597.00","-114.00","17303.00","180.00","294.00","17527.00","17496.00","46.00","0","1350","20220406","19279.00","15775.00","2","3","2","2","679"
"CreateQuote","2022/04/06 13:19:52.695214","UpdateQuote","2022/04/06 13:45:00.002280","00:03:33","MTX04","小台04","134500.012000","17503.00","1","-54.00","-0.31","17503.00","11","17506.00","3","17571.00","14.00","17624.00","-121.00","17328.00","175.00","296.00","17557.00","17515.00","56.00","0","263939","20220406","19312.00","15802.00","8","4","2","2","149112"
"CreateQuote","2022/04/06 13:19:52.696541","UpdateQuote","2022/04/06 13:44:59.852187","00:03:33","MTX05","小台05","134459.911000","17479.00","1","-48.00","-0.27","17477.00","2","17480.00","19","17535.00","8.00","17595.00","-116.00","17305.00","174.00","290.00","17527.00","17484.00","51.00","0","8336","20220406","19279.00","15775.00","9","5","2","2","3883"
