建立者,時間,更新者,更新時,經過,代碼,名稱,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"GetStockByNoLONG","2022/03/30 14:59:40.534991","OnNotifyQuote","2022/03/30 14:59:40.600994","14:03:53","TSEA","加權指","000000.000000","17740.56","730","191.90","1.09","0.00","0","0.00","0","17572.90","24.24","17770.07","-29.51","17572.90","167.66","197.17","17548.66","17548.66","24.24","0","298044","20220330","19303.53","15793.79","30303","-1","0","2","253416"
"GetStockByNoLONG","2022/03/30 14:59:40.536297","OnNotifyQuote","2022/03/30 14:59:40.600994","14:03:53","0050","元大台灣50","000000.000000","138.55","74","1.70","1.24","138.55","51","138.60","268","138.05","1.20","138.70","-0.15","138.05","0.50","0.65","136.85","136.85","1.20","0","8147","20220330","150.50","123.20","0","-1","0","2","6436"
"GetStockByNoLONG","2022/03/30 14:59:40.536979","OnNotifyQuote","2022/03/30 14:59:40.600994","14:03:53","00632R","元大台灣50反1","000000.000000","5.19","56","-0.05","-0.95","5.18","1811","5.19","11182","5.19","-0.05","5.20","-0.01","5.17","0.02","0.03","5.24","5.24","-0.05","0","158508","20220330","5.76","4.72","17","-1","0","2","49444"
"GetStockByNoLONG","2022/03/30 14:59:40.538029","OnNotifyQuote","2022/03/30 14:59:40.600994","14:03:53","2330","台積電","000000.000000","600.00","41","11.00","1.87","599.00","267","600.00","826","599.00","10.00","600.00","0.00","597.00","3.00","3.00","589.00","589.00","10.00","0","41194","20220330","647.00","531.00","29460","-1","0","2","14864"
"GetStockByNoLONG","2022/03/30 14:59:40.538984","OnNotifyQuote","2022/03/31 04:59:58.266126","00:03:35","UD06","道瓊06","045901.699000","35081.00","1","-77.00","-0.22","35080.00","1","35134.00","1","35175.00","17.00","35257.00","-176.00","34956.00","125.00","301.00","35158.00","35158.00","17.00","0","1478","20220331","37369.00","32481.00","44","0","2","2","2355"
"GetStockByNoLONG","2022/03/30 14:59:40.540311","OnNotifyQuote","2022/03/31 04:58:10.392354","00:05:23","UN2206","那斯達克2206","045503.059000","15100.00","1","-126.00","-0.83","15100.00","1","15115.00","1","15196.00","-30.00","15236.00","-136.00","15014.00","86.00","222.00","15226.00","15228.00","-32.00","0","3597","20220331","16054.00","13954.00","49","1","2","2","5052"
"GetStockByNoLONG","2022/03/30 14:59:40.540998","OnNotifyQuote","2022/03/31 04:59:57.022611","00:03:36","TX04","台指04","045958.600000","17681.00","1","-59.00","-0.33","17680.00","1","17687.00","6","17742.00","2.00","17746.00","-65.00","17620.00","61.00","126.00","17740.00","17741.00","1.00","0","42949","20220331","19300.00","15792.00","1","2","2","2","147870"
"GetStockByNoLONG","2022/03/30 14:59:40.540998","OnNotifyQuote","2022/03/31 04:59:57.019090","00:03:36","TX05","台指05","045920.246000","17650.00","1","-60.00","-0.34","17650.00","1","17659.00","6","17708.00","-2.00","17708.00","-58.00","17590.00","60.00","118.00","17710.00","17708.00","0.00","0","630","20220331","19272.00","15768.00","2","3","2","2","1543"
"GetStockByNoLONG","2022/03/30 14:59:40.542998","OnNotifyQuote","2022/03/31 04:59:58.023285","00:03:35","MTX04","小台04","045959.609000","17680.00","2","-60.00","-0.34","17680.00","17","17682.00","3","17746.00","6.00","17748.00","-68.00","17620.00","60.00","128.00","17740.00","17741.00","5.00","0","95080","20220331","19300.00","15792.00","8","4","2","2","275955"
"GetStockByNoLONG","2022/03/30 14:59:40.542998","OnNotifyQuote","2022/03/31 04:59:58.016407","00:03:35","MTX05","小台05","045955.869000","17651.00","1","-59.00","-0.33","17649.00","17","17654.00","3","17710.00","0.00","17715.00","-64.00","17591.00","60.00","124.00","17710.00","17709.00","1.00","0","3222","20220331","19272.00","15768.00","9","5","2","2","10064"
