更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,筆數,索引,Page,市場,小數位數,昨量
"m_SKQuoteLib_OnNotifyQuote","2023/08/16 05:39:51.027876","UN2309","那斯達克2309","000000","000000","000000.000000","15112.00","1","-195.00","-1.27","15110.00","2","15117.00","2","15290.00","-17.00","15295.00","-183.00","15082.00","30.00","213.00","15307.00","15278.00","12.00","0","3109","20230816","16378.00","14236.00","0","4836","-1","2","2","3237"
"m_SKQuoteLib_OnNotifyQuote","2023/08/16 05:39:51.028877","TX09","台指09","000000","000000","000000.000000","16313.00","1","-87.00","-0.53","16313.00","2","16322.00","1","16400.00","0.00","16415.00","-102.00","16308.00","5.00","107.00","16400.00","16455.00","-55.00","0","10121","20230816","18040.00","14760.00","0","4784","-1","2","2","28366"
"m_SKQuoteLib_OnNotifyQuote","2023/08/16 05:39:51.028877","MTX09","小台09","000000","000000","000000.000000","16319.00","1","-81.00","-0.49","16315.00","1","16320.00","8","16400.00","0.00","16415.00","-96.00","16309.00","10.00","106.00","16400.00","16451.00","-51.00","0","25542","20230816","18040.00","14760.00","0","4791","-1","2","2","51359"
"m_SKQuoteLib_OnNotifyQuote","2023/08/16 05:39:51.028877","UD09","道瓊09","000000","000000","000000.000000","35005.00","1","-356.00","-1.01","34988.00","1","35008.00","1","35323.00","-38.00","35348.00","-343.00","34943.00","62.00","405.00","35361.00","35335.00","-12.00","0","1574","20230816","37836.00","32886.00","0","4831","0","2","2","1020"
"m_SKQuoteLib_OnNotifyQuote","2023/08/16 05:39:51.028877","TX08","台指08","000000","000000","000000.000000","16335.00","5","-88.00","-0.54","16334.00","1","16341.00","1","16420.00","-3.00","16438.00","-103.00","16324.00","11.00","114.00","16423.00","16476.00","-56.00","0","43467","20230816","18065.00","14781.00","0","4783","1","2","2","130943"
"m_SKQuoteLib_OnNotifyQuote","2023/08/16 05:39:51.027876","MTX08","小台08","000000","000000","000000.000000","16339.00","1","-84.00","-0.51","16328.00","2","16339.00","5","16421.00","-2.00","16438.00","-99.00","16323.00","16.00","115.00","16423.00","16475.00","-54.00","0","81860","20230816","18065.00","14781.00","0","4790","2","2","2","228379"
"m_SKQuoteLib_OnNotifyQuote","2023/08/16 05:39:51.024876","TXO16300H3","台選08C","000000","000000","000000.000000","71.00","1","-70.00","-49.65","68.00","1","70.00","1","145.00","4.00","153.00","-82.00","59.00","12.00","94.00","141.00","192.00","-47.00","0","8746","20230816","1780.00","0.10","0","5506","-1","3","2","2876"
"m_SKQuoteLib_OnNotifyQuote","2023/08/16 05:39:51.027876","TXO16500H3","台選08C","000000","000000","000000.000000","5.20","2","-18.80","-78.33","4.70","3","5.40","1","24.00","0.00","29.00","-23.80","3.70","1.50","25.30","24.00","56.00","-32.00","0","28668","20230816","1660.00","0.10","0","5514","-1","3","2","50031"
"m_SKQuoteLib_OnNotifyQuote","2023/08/16 05:39:51.027876","TXO16700H3","台選08C","000000","000000","000000.000000","0.60","10","-1.00","-62.50","0.60","56","0.80","2","1.50","-0.10","2.00","-1.40","0.60","0.00","1.40","1.60","7.40","-5.90","0","3157","20230816","1640.00","0.10","0","5522","-1","3","2","12714"
"m_SKQuoteLib_OnNotifyQuote","2023/08/16 05:39:51.027876","TXO16900H3","台選08C","000000","000000","000000.000000","0.50","1","-0.20","-28.57","0.30","25","0.50","5","0.40","-0.30","0.90","-0.40","0.30","0.20","0.60","0.70","1.40","-1.00","0","385","20230816","1640.00","0.10","0","5530","-1","3","2","3044"
