建立者,時間,更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"CreateQuote","2022/04/22 04:50:09.948294","UpdateQuote","2022/04/22 04:50:09.986348","TSEA","加權指","000000","000000","000000.000000","17127.95","690","-20.93","-0.12","0.00","0","0.00","0","17159.88","11.00","17213.66","-85.71","17106.37","21.58","107.29","17148.88","17148.88","11.00","0","244361","20220421","18863.77","15433.99","30544","-1","0","2","293897"
"CreateQuote","2022/04/22 04:50:09.948294","UpdateQuote","2022/04/22 04:50:09.985347","0050","元大台灣50","000000","000000","000000.000000","132.75","22","0.10","0.08","132.70","92","132.75","37","133.25","0.60","133.60","-0.85","132.65","0.10","0.95","132.65","132.65","0.60","0","3972","20220421","145.90","119.40","0","-1","0","2","6750"
"CreateQuote","2022/04/22 04:50:09.948294","UpdateQuote","2022/04/22 04:50:09.985347","00632R","元大台灣50反1","000000","000000","000000.000000","5.34","183","-0.02","-0.37","5.34","11323","5.35","17402","5.33","-0.03","5.36","-0.02","5.31","0.03","0.05","5.36","5.36","-0.03","0","78914","20220421","5.89","4.83","17","-1","0","2","122829"
"CreateQuote","2022/04/22 04:50:09.949294","UpdateQuote","2022/04/22 04:58:58.283616","UN2206","那斯達克2206","000000","000000","000000.000000","13714.00","1","-406.00","-2.88","13717.00","1","13730.00","1","14098.00","-22.00","14282.00","-568.00","13677.00","37.00","605.00","14120.00","14120.00","-22.00","0","5508","20220422","15108.00","13132.00","4216","-1","2","2","5365"
"CreateQuote","2022/04/22 04:50:09.949294","UpdateQuote","2022/04/22 04:59:59.159080","TX06","台指06","000000","000000","000000.000000","16925.00","1","-165.00","-0.97","16918.00","1","16928.00","26","17077.00","-13.00","17152.00","-227.00","16893.00","32.00","259.00","17090.00","17090.00","-13.00","0","596","20220422","18799.00","15381.00","4171","-1","2","2","1085"
"CreateQuote","2022/04/22 04:50:09.949294","UpdateQuote","2022/04/22 04:59:58.533210","MTX06","小台06","000000","000000","000000.000000","16923.00","1","-167.00","-0.98","16919.00","3","16923.00","2","17072.00","-18.00","17153.00","-230.00","16894.00","29.00","259.00","17090.00","17091.00","-19.00","0","4337","20220422","18799.00","15381.00","4178","-1","2","2","6661"
"CreateQuote","2022/04/22 04:50:09.950294","UpdateQuote","2022/04/22 04:50:09.986348","2330","台積電","000000","000000","000000.000000","565.00","106","-5.00","-0.88","564.00","1292","565.00","49","571.00","1.00","571.00","-6.00","565.00","0.00","6.00","570.00","570.00","1.00","0","18321","20220421","627.00","513.00","29701","-1","0","2","27566"
"CreateQuote","2022/04/22 04:50:09.950294","UpdateQuote","2022/04/22 04:59:57.407692","UD06","道瓊06","045901","218000","045901.218000","34658.00","1","-555.00","-1.58","34661.00","1","34675.00","1","35187.00","-26.00","35408.00","-750.00","34645.00","13.00","763.00","35213.00","35210.00","-23.00","0","3159","20220422","37677.00","32749.00","4211","0","2","2","4380"
"CreateQuote","2022/04/22 04:50:09.950294","UpdateQuote","2022/04/22 04:59:59.158079","TX05","台指05","045959","753000","045959.753000","16953.00","2","-173.00","-1.01","16953.00","1","16960.00","26","17111.00","-15.00","17192.00","-239.00","16925.00","28.00","267.00","17126.00","17126.00","-15.00","0","59935","20220422","18838.00","15414.00","4170","1","2","2","135846"
"CreateQuote","2022/04/22 04:50:09.951303","UpdateQuote","2022/04/22 04:59:59.158079","MTX05","小台05","045958","875000","045958.875000","16955.00","1","-171.00","-1.00","16953.00","19","16955.00","2","17113.00","-13.00","17192.00","-237.00","16925.00","30.00","267.00","17126.00","17124.00","-11.00","0","122779","20220422","18838.00","15414.00","4177","2","2","2","254403"
