建立者,時間,更新者,更新時,經過,代碼,名稱,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"GetStockByNoLONG","2022/03/28 20:29:20.560999","OnNotifyQuote","2022/03/28 20:29:20.701635","08:33:52","TSEA","加權指","000000.000000","17520.01","671","-156.94","-0.89","0.00","0","0.00","0","17510.15","-166.80","17527.15","-7.14","17368.66","151.35","158.49","17676.95","17676.95","-166.80","0","235441","20220328","19444.64","15909.26","30180","-1","0","2","286927"
"GetStockByNoLONG","2022/03/28 20:29:20.560999","OnNotifyQuote","2022/03/28 20:29:20.701635","08:33:52","0050","元大台灣50","000000.000000","136.70","41","-1.50","-1.09","136.65","2","136.70","227","137.00","-1.20","137.00","-0.30","135.55","1.15","1.45","138.20","138.20","-1.20","0","10446","20220328","152.00","124.40","0","-1","0","2","4854"
"GetStockByNoLONG","2022/03/28 20:29:20.560999","OnNotifyQuote","2022/03/28 20:29:20.701635","08:33:52","00632R","元大台灣50反1","000000.000000","5.25","238","0.05","0.96","5.25","15567","5.26","11262","5.27","0.07","5.31","-0.06","5.24","0.01","0.07","5.20","5.20","0.07","0","130725","20220328","5.72","4.68","17","-1","0","2","56781"
"GetStockByNoLONG","2022/03/28 20:29:20.560999","OnNotifyQuote","2022/03/28 20:29:20.701635","08:33:52","2330","台積電","000000.000000","584.00","88","-14.00","-2.34","584.00","282","585.00","136","581.00","-17.00","586.00","-2.00","580.00","4.00","6.00","598.00","598.00","-17.00","0","26301","20220328","657.00","539.00","29337","-1","0","2","26079"
"GetStockByNoLONG","2022/03/28 20:29:20.560999","OnNotifyQuote","2022/03/29 04:59:00.504964","00:04:12","UD06","道瓊06","045901.304000","34830.00","1","195.00","0.56","34824.00","1","34845.00","1","34624.00","-11.00","34877.00","-47.00","34448.00","382.00","429.00","34635.00","34635.00","-11.00","0","1945","20220329","37059.00","32211.00","4211","0","2","2","1720"
"GetStockByNoLONG","2022/03/28 20:29:20.560999","OnNotifyQuote","2022/03/29 04:58:33.510191","00:04:39","UN2206","那斯達克2206","045502.059000","14990.00","1","320.00","2.18","14986.00","1","14990.00","3","14680.00","10.00","14995.00","-5.00","14680.00","310.00","315.00","14670.00","14669.00","11.00","0","4165","20220329","15696.00","13644.00","4216","1","2","2","4135"
"GetStockByNoLONG","2022/03/28 20:29:20.560999","OnNotifyQuote","2022/03/29 04:59:58.406153","00:03:14","TX04","台指04","045959.199000","17563.00","1","126.00","0.72","17560.00","1","17563.00","2","17454.00","17.00","17583.00","-20.00","17433.00","130.00","150.00","17437.00","17438.00","16.00","0","47156","20220329","19180.00","15694.00","4170","2","2","2","169391"
"GetStockByNoLONG","2022/03/28 20:29:20.560999","OnNotifyQuote","2022/03/29 04:59:57.622941","00:03:15","TX05","台指05","045503.976000","17531.00","1","122.00","0.70","17531.00","1","17535.00","1","17426.00","17.00","17551.00","-20.00","17407.00","124.00","144.00","17409.00","17409.00","17.00","0","499","20220329","19149.00","15669.00","4171","3","2","2","1677"
"GetStockByNoLONG","2022/03/28 20:29:20.560999","OnNotifyQuote","2022/03/29 04:59:59.249961","00:03:13","MTX04","小台04","045958.959000","17560.00","1","123.00","0.71","17561.00","1","17563.00","9","17450.00","13.00","17582.00","-22.00","17433.00","127.00","149.00","17437.00","17440.00","10.00","0","104347","20220329","19180.00","15694.00","4177","4","2","2","329228"
"GetStockByNoLONG","2022/03/28 20:29:20.560999","OnNotifyQuote","2022/03/29 04:59:59.249961","00:03:13","MTX05","小台05","045950.781000","17533.00","1","124.00","0.71","17530.00","1","17533.00","1","17419.00","10.00","17550.00","-17.00","17406.00","127.00","144.00","17409.00","17411.00","8.00","0","3364","20220329","19149.00","15669.00","4178","5","2","2","8992"
