更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,筆數,索引,Page,市場,小數位數,昨量
"m_SKQuoteLib_OnNotifyQuote","2024/03/01 05:39:40.258083","UN2403","那斯達克2403","000000","000000","000000.000000","18104.00","1","167.00","0.93","18052.00","24","18110.00","1","17905.00","-32.00","18110.00","-6.00","17840.00","264.00","270.00","17937.00","18028.00","-123.00","0","3318","20240301","19192.00","16682.00","0","4935","-1","2","2","2777"
"m_SKQuoteLib_OnNotifyQuote","2024/03/01 05:39:40.258083","TX04","台指04","000000","000000","000000.000000","18968.00","1","7.00","0.04","18955.00","13","18964.00","4","18967.00","6.00","19000.00","-32.00","18896.00","72.00","104.00","18961.00","18889.00","78.00","0","599","20240301","20857.00","17065.00","0","4874","-1","2","2","1156"
"m_SKQuoteLib_OnNotifyQuote","2024/03/01 05:39:40.258083","MTX04","小台04","000000","000000","000000.000000","18965.00","1","4.00","0.02","18960.00","2","18961.00","5","18961.00","0.00","18999.00","-34.00","18896.00","69.00","103.00","18961.00","18894.00","67.00","0","5881","20240301","20857.00","17065.00","0","4881","-1","2","2","10097"
"m_SKQuoteLib_OnNotifyQuote","2024/03/01 05:39:40.258083","UD03","道瓊03","000000","000000","000000.000000","39040.00","2","53.00","0.14","38905.00","2","39090.00","4","38955.00","-32.00","39110.00","-70.00","38834.00","206.00","276.00","38987.00","39024.00","-69.00","0","608","20240301","41716.00","36258.00","0","4930","0","2","2","697"
"m_SKQuoteLib_OnNotifyQuote","2024/03/01 05:39:40.257082","TX03","台指03","000000","000000","000000.000000","18954.00","3","-7.00","-0.04","18953.00","6","18960.00","4","18961.00","0.00","19000.00","-46.00","18891.00","63.00","109.00","18961.00","18881.00","80.00","0","52324","20240301","20857.00","17065.00","0","4873","1","2","2","114533"
"m_SKQuoteLib_OnNotifyQuote","2024/03/01 05:39:40.257082","MTX03","小台03","000000","000000","000000.000000","18958.00","10","-3.00","-0.02","18957.00","15","18958.00","20","18964.00","3.00","19000.00","-42.00","18890.00","68.00","110.00","18961.00","18889.00","75.00","0","88483","20240301","20857.00","17065.00","0","4880","2","2","2","181507"
"m_SKQuoteLib_OnNotifyQuote","2024/03/01 05:39:40.257082","TXO18100C4","台選03C","000000","000000","000000.000000","920.00","5","30.00","3.37","700.00","1","925.00","1","845.00","-45.00","920.00","0.00","830.00","90.00","90.00","890.00","0.00","0.00","0","8","20240301","2780.00","0.10","0","5800","-1","3","2","24"
"m_SKQuoteLib_OnNotifyQuote","2024/03/01 05:39:40.258083","TXO18300C4","台選03C","000000","000000","000000.000000","700.00","1","5.00","0.72","15.00","1","0.00","0","690.00","-5.00","700.00","0.00","670.00","30.00","30.00","695.00","635.00","55.00","0","24","20240301","2590.00","0.10","0","5804","-1","3","2","18"
"m_SKQuoteLib_OnNotifyQuote","2024/03/01 05:39:40.266085","TXO18500C4","台選03C","000000","000000","000000.000000","525.00","1","-5.00","-0.94","495.00","1","0.00","0","535.00","5.00","540.00","-15.00","480.00","45.00","60.00","530.00","472.00","63.00","0","92","20240301","2420.00","0.10","0","5808","-1","3","2","218"
"m_SKQuoteLib_OnNotifyQuote","2024/03/01 05:39:40.258083","TXO18700C4","台選03C","000000","000000","000000.000000","339.00","1","-36.00","-9.60","346.00","1","385.00","1","380.00","5.00","394.00","-55.00","316.00","23.00","78.00","375.00","331.00","49.00","0","78","20240301","2270.00","0.10","0","5812","-1","3","2","378"
