建立者,時間,更新者,更新時,經過,代碼,名稱,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,最低價,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"GetStockByNoLONG","2022/03/25 12:05:16.415516","OnNotifyQuote","2022/03/25 13:33:25.206723","00:13:54","TSEA","加權指","000000.000000","17676.95","19524","-22.11","-0.12","0.00","0","0.00","0","17695.80","-3.26","17747.13","17633.86","17699.06","17699.06","-3.26","0","286131","20220325","19468.97","15929.15","30168","-1","0","2","263380"
"GetStockByNoLONG","2022/03/25 12:05:16.416849","OnNotifyQuote","2022/03/25 13:45:00.318576","00:02:19","0050","元大台灣50","000000.000000","138.20","211","0.20","0.14","138.20","217","138.25","168","138.40","0.40","138.50","137.90","138.00","138.00","0.40","0","4847","20220325","151.80","124.20","0","-1","0","2","4265"
"GetStockByNoLONG","2022/03/25 12:05:16.418108","OnNotifyQuote","2022/03/25 13:45:00.519834","00:02:19","00632R","元大台灣50反1","000000.000000","5.20","3110","0.00","0.00","5.20","22567","5.21","376","5.19","-0.01","5.23","5.19","5.20","5.20","-0.01","0","56769","20220325","5.72","4.68","17","-1","0","2","85795"
"GetStockByNoLONG","2022/03/25 12:05:16.420828","OnNotifyQuote","2022/03/25 13:45:09.150660","00:02:10","2330","台積電","000000.000000","598.00","4495","7.00","1.18","597.00","14","598.00","1760","597.00","6.00","598.00","595.00","591.00","591.00","6.00","0","26042","20220325","650.00","532.00","29326","-1","0","2","20021"
"GetStockByNoLONG","2022/03/25 12:05:16.420828","OnNotifyQuote","2022/03/25 13:44:36.534525","00:02:43","UD06","道瓊06","134436.523000","34613.00","1","254.00","0.74","34607.00","1","34655.00","1","34339.00","-20.00","34705.00","34250.00","34359.00","34641.00","-302.00","0","1885","20220325","36764.00","31954.00","42","0","2","2","305"
"GetStockByNoLONG","2022/03/25 12:05:16.422823","OnNotifyQuote","2022/03/25 13:44:59.181539","00:02:20","UN2206","那斯達克2206","134459.128000","14770.00","1","232.00","1.60","14770.00","5","14780.00","1","14535.00","-3.00","14815.00","14435.00","14538.00","14759.00","-224.00","0","3840","20220325","15555.00","13521.00","47","1","2","2","580"
"GetStockByNoLONG","2022/03/25 12:05:16.422823","OnNotifyQuote","2022/03/25 13:44:59.931509","00:02:19","TX04","台指04","134459.846000","17621.00","1","-48.00","-0.27","17621.00","1","17623.00","8","17655.00","-14.00","17762.00","17591.00","17669.00","17755.00","-100.00","0","132172","20220325","19435.00","15903.00","1","2","2","2","80120"
"GetStockByNoLONG","2022/03/25 12:05:16.424190","OnNotifyQuote","2022/03/25 13:44:59.907521","00:02:19","TX05","台指05","134445.002000","17591.00","1","-49.00","-0.28","17589.00","1","17594.00","8","17629.00","-11.00","17730.00","17563.00","17640.00","17722.00","-93.00","0","1116","20220325","19404.00","15876.00","2","3","2","2","576"
"GetStockByNoLONG","2022/03/25 12:05:16.424851","OnNotifyQuote","2022/03/25 13:44:59.931509","00:02:19","MTX04","小台04","134459.950000","17620.00","1","-49.00","-0.28","17618.00","22","17620.00","1","17658.00","-11.00","17761.00","17591.00","17669.00","17752.00","-94.00","0","254224","20220325","19435.00","15903.00","8","4","2","2","140945"
"GetStockByNoLONG","2022/03/25 12:05:16.426180","OnNotifyQuote","2022/03/25 13:44:59.931509","00:02:19","MTX05","小台05","134459.950000","17591.00","1","-49.00","-0.28","17587.00","1","17591.00","1","17629.00","-11.00","17728.00","17561.00","17640.00","17720.00","-91.00","0","7058","20220325","19404.00","15876.00","9","5","2","2","3728"
