更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,筆數,索引,Page,市場,小數位數,昨量
"m_SKQuoteLib_OnNotifyQuote","2022/08/22 14:54:13.913143","TSEA","加權指","000000","000000","000000.000000","15245.14","454","-163.64","-1.06","0.00","0","0.00","0","15375.20","-33.58","15375.20","-130.06","15229.36","15.78","145.84","15408.78","15408.78","-33.58","0","199877","20220822","16949.66","13867.90","0","28860","-1","0","2","219148"
"m_SKQuoteLib_OnNotifyQuote","2022/08/22 14:54:13.913143","0050","元大台灣50","000000","000000","000000.000000","119.80","60","-1.75","-1.44","119.75","79","119.80","67","120.00","-1.55","120.25","-0.45","119.70","0.10","0.55","121.55","121.55","-1.55","0","8075","20220822","133.70","109.40","0","0","-1","0","2","4006"
"m_SKQuoteLib_OnNotifyQuote","2022/08/22 14:54:13.913143","00632R","元大台灣50反1","000000","000000","000000.000000","5.67","58","0.06","1.07","5.67","2287","5.68","25676","5.67","0.06","5.68","-0.01","5.64","0.03","0.04","5.61","5.61","0.06","0","111560","20220822","6.17","5.05","0","16","-1","0","2","55947"
"m_SKQuoteLib_OnNotifyQuote","2022/08/23 04:59:46.861688","UN2209","那斯達克2209","000000","000000","000000.000000","12925.00","1","-261.00","-1.98","12917.00","1","12926.00","1","13158.00","-28.00","13184.00","-259.00","12878.00","47.00","306.00","13186.00","13188.00","-30.00","0","4240","20220823","14417.00","12531.00","0","54","-1","2","2","4130"
"m_SKQuoteLib_OnNotifyQuote","2022/08/23 04:59:58.487842","TX10","台指10","000000","000000","000000.000000","15023.00","1","-138.00","-0.91","15016.00","4","15021.00","2","15152.00","-9.00","15172.00","-149.00","15011.00","12.00","161.00","15161.00","15160.00","-8.00","0","341","20220823","16863.00","13797.00","0","2","-1","2","2","810"
"m_SKQuoteLib_OnNotifyQuote","2022/08/23 04:59:58.486838","MTX10","小台10","000000","000000","000000.000000","15020.00","1","-141.00","-0.93","15016.00","11","15020.00","1","15153.00","-8.00","15175.00","-155.00","15011.00","9.00","164.00","15161.00","15155.00","-2.00","0","2684","20220823","16863.00","13797.00","0","9","-1","2","2","6038"
"m_SKQuoteLib_OnNotifyQuote","2022/08/22 14:54:13.913143","2330","台積電","000000","000000","000000.000000","510.00","36","-9.00","-1.73","510.00","403","511.00","149","511.00","-8.00","514.00","-4.00","510.00","0.00","4.00","519.00","519.00","-8.00","0","20849","20220822","570.00","467.50","0","28011","-1","0","2","14001"
"m_SKQuoteLib_OnNotifyQuote","2022/08/23 04:59:57.736516","UD09","道瓊09","045859","282000","045859.282000","33077.00","1","-480.00","-1.43","33060.00","3","33094.00","1","33526.00","-31.00","33592.00","-515.00","33006.00","71.00","586.00","33557.00","33557.00","-31.00","0","1677","20220823","36291.00","31543.00","1453","49","0","2","2","2037"
"m_SKQuoteLib_OnNotifyQuote","2022/08/23 04:59:58.486838","TX09","台指09","045959","205000","045959.205000","15037.00","1","-142.00","-0.94","15035.00","4","15037.00","2","15165.00","-14.00","15196.00","-159.00","15026.00","11.00","170.00","15179.00","15175.00","-10.00","0","40486","20220823","16889.00","13819.00","20822","1","1","2","2","107268"
"m_SKQuoteLib_OnNotifyQuote","2022/08/23 04:59:58.735956","MTX09","小台09","045959","517000","045959.517000","15036.00","1","-143.00","-0.94","15035.00","23","15036.00","2","15165.00","-14.00","15195.00","-159.00","15026.00","10.00","169.00","15179.00","15173.00","-8.00","0","82957","20220823","16889.00","13819.00","47605","8","2","2","2","208442"
