更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,筆數,索引,Page,市場,小數位數,昨量
"m_SKQuoteLib_OnNotifyQuote","2022/08/04 13:33:14.645743","TSEA","加權指","000000","000000","000000.000000","14702.20","14946","-74.82","-0.51","0.00","0","0.00","0","14741.47","-35.55","14766.57","-64.37","14545.69","156.51","220.88","14777.02","14777.02","-35.55","0","195480","20220804","16254.72","13299.32","0","30148","-1","0","2","175243"
"m_SKQuoteLib_OnNotifyQuote","2022/08/04 13:44:59.942711","0050","元大台灣50","000000","000000","000000.000000","116.55","181","0.30","0.26","116.50","34","116.55","19","116.35","0.10","116.80","-0.25","115.20","1.35","1.60","116.25","116.25","0.10","0","6833","20220804","127.85","104.65","0","0","-1","0","2","7819"
"m_SKQuoteLib_OnNotifyQuote","2022/08/04 13:45:00.093270","00632R","元大台灣50反1","000000","000000","000000.000000","5.90","2026","0.00","0.00","5.90","15470","5.91","170","5.88","-0.02","5.98","-0.08","5.87","0.03","0.11","5.90","5.90","-0.02","0","155678","20220804","6.49","5.31","0","16","-1","0","2","187556"
"m_SKQuoteLib_OnNotifyQuote","2022/08/04 13:44:46.742522","UN2209","那斯達克2209","000000","000000","000000.000000","13239.00","1","295.00","2.28","13234.00","3","13243.00","1","13253.00","309.00","13268.00","-29.00","13225.00","14.00","43.00","12944.00","13259.00","-6.00","0","4781","20220804","13850.00","12038.00","0","4471","-1","2","2","699"
"m_SKQuoteLib_OnNotifyQuote","2022/08/04 13:44:58.610058","TX09","台指09","000000","000000","000000.000000","14603.00","1","-15.00","-0.10","14603.00","8","14606.00","1","14630.00","12.00","14661.00","-58.00","14420.00","183.00","241.00","14618.00","14641.00","-11.00","0","1759","20220804","16079.00","13157.00","0","4419","-1","2","2","793"
"m_SKQuoteLib_OnNotifyQuote","2022/08/04 13:44:59.002494","MTX09","小台09","000000","000000","000000.000000","14599.00","1","-19.00","-0.13","14600.00","1","14604.00","1","14636.00","18.00","14666.00","-67.00","14412.00","187.00","254.00","14618.00","14638.00","-2.00","0","12627","20220804","16079.00","13157.00","0","4426","-1","2","2","5774"
"m_SKQuoteLib_OnNotifyQuote","2022/08/04 13:45:08.742930","2330","台積電","133000","000000","133000.000000","500.00","5706","-1.00","-0.20","499.50","592","500.00","4","499.00","-2.00","503.00","-3.00","495.00","5.00","8.00","501.00","501.00","-2.00","0","25948","20220804","551.00","451.00","5433","29298","0","0","2","27577"
"m_SKQuoteLib_OnNotifyQuote","2022/08/04 13:44:34.105100","UD09","道瓊09","134412","060000","134412.060000","32767.00","1","318.00","0.98","32751.00","1","32764.00","1","32766.00","317.00","32800.00","-33.00","32731.00","36.00","69.00","32449.00","32764.00","2.00","0","1725","20220804","34720.00","30178.00","1586","4466","1","2","2","311"
"m_SKQuoteLib_OnNotifyQuote","2022/08/04 13:44:58.733273","TX08","台指08","134459","613000","134459.613000","14658.00","1","-14.00","-0.10","14658.00","8","14660.00","10","14686.00","14.00","14722.00","-64.00","14461.00","197.00","261.00","14672.00","14698.00","-12.00","0","184560","20220804","16139.00","13205.00","85891","4418","2","2","2","97963"
"m_SKQuoteLib_OnNotifyQuote","2022/08/04 13:44:59.000784","MTX08","小台08","134459","820000","134459.820000","14657.00","2","-15.00","-0.10","14655.00","1","14657.00","7","14687.00","15.00","14721.00","-64.00","14461.00","196.00","260.00","14672.00","14691.00","-4.00","0","334742","20220804","16139.00","13205.00","185936","4425","3","2","2","169407"
"m_SKQuoteLib_OnNotifyQuote","2022/08/04 13:44:53.998305","TXO14600H2","台選08C","000000","000000","000000.000000","288.00","1","-33.00","-10.28","285.00","20","293.00","1","321.00","0.00","336.00","-48.00","213.00","75.00","123.00","321.00","324.00","-3.00","0","2609","20220804","1790.00","0.10","0","5950","-1","3","2","1793"
