更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,筆數,索引,Page,市場,小數位數,昨量
"m_SKQuoteLib_OnNotifyQuote","2023/06/13 05:58:27.909519","UN2306","那斯達克2306","000000","000000","000000.000000","14832.00","1","244.00","1.67","14829.00","1","14837.00","1","14610.00","22.00","14832.00","0.00","14585.00","247.00","247.00","14588.00","14560.00","50.00","0","2582","20230613","15609.00","13567.00","0","4648","-1","2","2","156"
"m_SKQuoteLib_OnNotifyQuote","2023/06/13 05:58:27.904518","TX07","台指07","000000","000000","000000.000000","16845.00","1","137.00","0.82","16844.00","1","16849.00","1","16713.00","5.00","16850.00","-5.00","16706.00","139.00","144.00","16708.00","16695.00","18.00","0","910","20230613","18378.00","15038.00","0","4596","-1","2","2","862"
"m_SKQuoteLib_OnNotifyQuote","2023/06/13 05:58:27.904518","MTX07","小台07","000000","000000","000000.000000","16848.00","1","140.00","0.84","16847.00","2","16849.00","3","16722.00","14.00","16850.00","-2.00","16702.00","146.00","148.00","16708.00","16696.00","26.00","0","5716","20230613","18378.00","15038.00","0","4603","-1","2","2","5298"
"m_SKQuoteLib_OnNotifyQuote","2023/06/13 05:58:27.904518","UD06","道瓊06","000000","000000","000000.000000","34095.00","1","177.00","0.52","34082.00","1","34096.00","1","33948.00","30.00","34095.00","0.00","33890.00","205.00","205.00","33918.00","33873.00","75.00","0","919","20230613","36292.00","31544.00","0","4643","0","2","2","113"
"m_SKQuoteLib_OnNotifyQuote","2023/06/13 05:58:27.901518","TX06","台指06","000000","000000","000000.000000","17084.00","1","142.00","0.84","17082.00","6","17086.00","4","16948.00","6.00","17088.00","-4.00","16932.00","152.00","156.00","16942.00","16930.00","18.00","0","36397","20230613","18636.00","15248.00","0","4595","1","2","2","62692"
"m_SKQuoteLib_OnNotifyQuote","2023/06/13 05:58:27.904518","MTX06","小台06","000000","000000","000000.000000","17084.00","3","142.00","0.84","17084.00","71","17086.00","1","16946.00","4.00","17088.00","-4.00","16932.00","152.00","156.00","16942.00","16928.00","18.00","0","73665","20230613","18636.00","15248.00","0","4602","2","2","2","108280"
"m_SKQuoteLib_OnNotifyQuote","2023/06/13 05:58:27.908519","TXO15300F3","台選06C","000000","000000","000000.000000","0.00","0","0.00","0.00","14.50","3","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1640.00","0.00","0.00","0","0","20230613","3330.00","0.10","0","5544","-1","3","2","0"
"m_SKQuoteLib_OnNotifyQuote","2023/06/13 05:58:27.909519","TXO15500F3","台選06C","000000","000000","000000.000000","1590.00","1","150.00","10.42","38.00","1","0.00","0","1590.00","150.00","1590.00","0.00","1590.00","0.00","0.00","1440.00","1400.00","190.00","0","1","20230613","3130.00","0.10","0","5548","-1","3","2","1"
"m_SKQuoteLib_OnNotifyQuote","2023/06/13 05:58:27.908519","TXO15700F3","台選06C","000000","000000","000000.000000","1330.00","1","90.00","7.26","755.00","2","0.00","0","1300.00","60.00","1330.00","0.00","1300.00","30.00","30.00","1240.00","1110.00","190.00","0","3","20230613","2930.00","0.10","0","5552","-1","3","2","5"
"m_SKQuoteLib_OnNotifyQuote","2023/06/13 05:58:27.909519","TXO15900F3","台選06C","000000","000000","000000.000000","1110.00","1","60.00","5.71","1110.00","1","0.00","0","1130.00","80.00","1130.00","-20.00","1110.00","0.00","20.00","1050.00","895.00","235.00","0","2","20230613","2740.00","0.10","0","5556","-1","3","2","77"
"m_SKQuoteLib_OnNotifyQuote","2023/06/13 05:58:27.909519","TXO16100F3","台選06C","000000","000000","000000.000000","975.00","1","125.00","14.71","975.00","1","0.00","0","925.00","75.00","975.00","0.00","925.00","50.00","50.00","850.00","820.00","105.00","0","2","20230613","2540.00","0.10","0","5560","-1","3","2","9"
"m_SKQuoteLib_OnNotifyQuote","2023/06/13 05:58:27.908519","TXO16300F3","台選06C","000000","000000","000000.000000","795.00","1","140.00","21.37","785.00","1","850.00","1","700.00","45.00","795.00","0.00","700.00","95.00","95.00","655.00","610.00","90.00","0","25","20230613","2350.00","0.10","0","5566","-1","3","2","104"
"m_SKQuoteLib_OnNotifyQuote","2023/06/13 05:58:27.909519","TXO16500F3","台選06C","000000","000000","000000.000000","600.00","5","135.00","29.03","550.00","2","600.00","2","475.00","10.00","605.00","-5.00","470.00","130.00","135.00","465.00","461.00","14.00","0","129","20230613","2160.00","0.10","0","5574","-1","3","2","132"
"m_SKQuoteLib_OnNotifyQuote","2023/06/13 05:58:27.909519","TXO15300R3","台選06P","000000","000000","000000.000000","1.90","5","0.20","11.76","1.00","27","1.90","32","1.10","-0.60","2.10","-0.20","1.10","0.80","1.00","1.70","2.50","-1.40","0","43","20230613","1690.00","0.10","0","5543","-1","3","2","85"
"m_SKQuoteLib_OnNotifyQuote","2023/06/13 05:58:27.908519","TXO15500R3","台選06P","000000","000000","000000.000000","2.00","2","-0.30","-13.04","1.30","2","2.00","14","3.30","1.00","3.30","-1.30","1.30","0.70","2.00","2.30","3.20","0.10","0","84","20230613","1690.00","0.10","0","5547","-1","3","2","343"
"m_SKQuoteLib_OnNotifyQuote","2023/06/13 05:58:27.909519","TXO15700R3","台選06P","000000","000000","000000.000000","4.70","2","1.60","51.61","2.20","2","4.40","6","5.00","1.90","5.00","-0.30","2.10","2.60","2.90","3.10","5.00","0.00","0","38","20230613","1690.00","0.10","0","5551","-1","3","2","130"
"m_SKQuoteLib_OnNotifyQuote","2023/06/13 05:58:27.925523","TXO15900R3","台選06P","000000","000000","000000.000000","3.80","1","-0.80","-17.39","3.30","1","3.80","7","4.30","-0.30","4.80","-1.00","3.40","0.40","1.40","4.60","7.00","-2.70","0","436","20230613","1700.00","0.10","0","5555","-1","3","2","578"
"m_SKQuoteLib_OnNotifyQuote","2023/06/13 05:58:27.909519","TXO16100R3","台選06P","000000","000000","000000.000000","4.20","2","-3.20","-43.24","3.60","1","6.00","11","6.50","-0.90","7.70","-3.50","4.20","0.00","3.50","7.40","10.00","-3.50","0","289","20230613","1700.00","0.10","0","5559","-1","3","2","1228"
"m_SKQuoteLib_OnNotifyQuote","2023/06/13 05:58:27.909519","TXO16300R3","台選06P","000000","000000","000000.000000","8.30","1","-5.20","-38.52","8.30","4","8.40","1","13.00","-0.50","13.50","-5.20","8.30","0.00","5.20","13.50","16.00","-3.00","0","607","20230613","1700.00","0.10","0","5565","-1","3","2","1485"
"m_SKQuoteLib_OnNotifyQuote","2023/06/13 05:58:27.909519","TXO16500R3","台選06P","000000","000000","000000.000000","15.50","1","-11.00","-41.51","15.50","45","17.50","3","26.50","0.00","28.00","-12.50","15.50","0.00","12.50","26.50","31.00","-4.50","0","2605","20230613","1720.00","0.10","0","5573","-1","3","2","5154"
