建立者,時間,更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,筆數,索引,Page,市場,小數位數,昨量
"CreateOrUpdate","2022/06/01 08:35:14.677672","m_SKQuoteLib_OnNotifyQuote","2022/06/01 13:33:15.424159","TSEA","加權指","000000","000000","000000.000000","16675.09","17901","-132.68","-0.79","0.00","0","0.00","0","16718.91","-88.86","16811.04","-135.95","16649.91","25.18","161.13","16807.77","16807.77","-88.86","0","252853","20220601","18488.55","15126.99","0","30512","-1","0","2","388228"
"CreateOrUpdate","2022/06/01 08:35:14.679674","m_SKQuoteLib_OnNotifyQuote","2022/06/01 13:45:00.709020","0050","元大台灣50","000000","000000","000000.000000","129.15","110","-0.65","-0.50","129.10","37","129.15","27","129.30","-0.50","130.05","-0.90","129.00","0.15","1.05","129.80","129.80","-0.50","0","6360","20220601","142.75","116.85","0","0","-1","0","2","7005"
"CreateOrUpdate","2022/06/01 08:35:14.679674","m_SKQuoteLib_OnNotifyQuote","2022/06/01 13:45:00.910026","00632R","元大台灣50反1","000000","000000","000000.000000","5.45","7765","0.00","0.00","5.45","20851","5.46","1271","5.46","0.01","5.47","-0.02","5.42","0.03","0.05","5.45","5.45","0.01","0","153643","20220601","5.99","4.91","0","16","-1","0","2","140361"
"CreateOrUpdate","2022/06/01 08:35:14.681018","m_SKQuoteLib_OnNotifyQuote","2022/06/01 13:44:51.996043","UN2206","那斯達克2206","000000","000000","000000.000000","12645.00","2","-108.00","-0.85","12631.00","1","12655.00","4","12703.00","-50.00","12724.00","-79.00","12631.00","14.00","93.00","12753.00","12656.00","47.00","0","6611","20220601","13645.00","11861.00","0","4299","-1","2","2","974"
"CreateOrUpdate","2022/06/01 08:35:14.682029","m_SKQuoteLib_OnNotifyQuote","2022/06/01 13:45:00.051836","TX07","台指07","000000","000000","000000.000000","16197.00","1","-89.00","-0.55","16194.00","27","16201.00","3","16255.00","-31.00","16345.00","-148.00","16180.00","17.00","165.00","16286.00","16190.00","65.00","0","1678","20220601","17914.00","14658.00","0","4252","-1","2","2","991"
"CreateOrUpdate","2022/06/01 08:35:14.682029","m_SKQuoteLib_OnNotifyQuote","2022/06/01 13:44:59.956558","MTX07","小台07","000000","000000","000000.000000","16192.00","1","-94.00","-0.58","16192.00","1","16195.00","1","16258.00","-28.00","16347.00","-155.00","16181.00","11.00","166.00","16286.00","16196.00","62.00","0","10484","20220601","17914.00","14658.00","0","4259","-1","2","2","5494"
"CreateOrUpdate","2022/06/01 08:35:14.686776","m_SKQuoteLib_OnNotifyQuote","2022/06/01 13:45:09.540679","2330","台積電","133000","000000","133000.000000","549.00","4274","-11.00","-1.96","549.00","98","550.00","445","550.00","-10.00","555.00","-6.00","548.00","1.00","7.00","560.00","560.00","-10.00","0","29047","20220601","616.00","504.00","7675","29665","0","0","2","72070"
"CreateOrUpdate","2022/06/01 08:35:14.686776","m_SKQuoteLib_OnNotifyQuote","2022/06/01 13:44:51.450113","UD06","道瓊06","134440","355000","134440.355000","33062.00","1","-140.00","-0.42","33055.00","1","33080.00","2","33172.00","-30.00","33210.00","-148.00","33057.00","5.00","153.00","33202.00","33077.00","95.00","0","3577","20220601","35526.00","30878.00","2998","4294","1","2","2","413"
"CreateOrUpdate","2022/06/01 08:35:14.687776","m_SKQuoteLib_OnNotifyQuote","2022/06/01 13:45:00.045979","TX06","台指06","134459","548000","134459.548000","16610.00","1","-71.00","-0.43","16610.00","27","16612.00","3","16647.00","-34.00","16755.00","-145.00","16592.00","18.00","163.00","16681.00","16598.00","49.00","0","162169","20220601","18349.00","15013.00","78945","4251","2","2","2","107357"
"CreateOrUpdate","2022/06/01 08:35:14.687776","m_SKQuoteLib_OnNotifyQuote","2022/06/01 13:44:59.995710","MTX06","小台06","134459","910000","134459.910000","16607.00","1","-74.00","-0.44","16606.00","13","16608.00","9","16655.00","-26.00","16755.00","-148.00","16592.00","15.00","163.00","16681.00","16592.00","63.00","0","299454","20220601","18349.00","15013.00","164633","4258","3","2","2","164532"
