建立者,時間,更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"CreateQuote","2022/04/12 16:53:20.524229","UpdateQuote","2022/04/12 16:53:20.559237","TSEA","加權指","000000","000000","000000.000000","16990.91","641","-57.46","-0.34","0.00","0","0.00","0","17005.84","-42.53","17100.85","-109.94","16905.13","85.78","195.72","17048.37","17048.37","-42.53","0","274703","20220412","18753.21","15343.53","30087","-1","0","2","300239"
"CreateQuote","2022/04/12 16:53:20.524229","UpdateQuote","2022/04/12 16:53:20.558236","0050","元大台灣50","000000","000000","000000.000000","132.55","77","0.10","0.08","132.55","7","132.60","44","132.15","-0.30","132.85","-0.30","131.60","0.95","1.25","132.45","132.45","-0.30","0","14176","20220412","145.65","119.25","0","-1","0","2","16650"
"CreateQuote","2022/04/12 16:53:20.525229","UpdateQuote","2022/04/12 16:53:20.559237","00632R","元大台灣50反1","000000","000000","000000.000000","5.39","366","-0.01","-0.19","5.39","21482","5.40","583","5.42","0.02","5.43","-0.04","5.37","0.02","0.06","5.40","5.40","0.02","0","198254","20220412","5.94","4.86","17","-1","0","2","162643"
"CreateQuote","2022/04/12 16:53:20.525229","UpdateQuote","2022/04/13 04:59:59.105154","TX06","台指06","000000","000000","000000.000000","16965.00","1","29.00","0.17","16959.00","3","16969.00","6","16955.00","19.00","17075.00","-110.00","16915.00","50.00","160.00","16936.00","16936.00","19.00","0","161","20220413","18676.00","15282.00","3","-1","2","2","264"
"CreateQuote","2022/04/12 16:53:20.526229","UpdateQuote","2022/04/13 04:59:58.855288","MTX06","小台06","000000","000000","000000.000000","16959.00","1","23.00","0.14","16959.00","5","16967.00","1","16955.00","19.00","17076.00","-117.00","16915.00","44.00","161.00","16936.00","16939.00","16.00","0","1155","20220413","18676.00","15282.00","10","-1","2","2","2086"
"CreateQuote","2022/04/12 16:53:20.526229","UpdateQuote","2022/04/12 16:53:20.559237","2330","台積電","000000","000000","000000.000000","557.00","14","-1.00","-0.18","557.00","578","558.00","4","554.00","-4.00","564.00","-7.00","552.00","5.00","12.00","558.00","558.00","-4.00","0","30557","20220412","613.00","503.00","29243","-1","0","2","36639"
"CreateQuote","2022/04/12 16:53:20.527230","UpdateQuote","2022/04/13 04:58:59.362306","UD06","道瓊06","045900","118000","045900.118000","34168.00","3","73.00","0.21","34167.00","20","34179.00","1","34095.00","0.00","34580.00","-412.00","34016.00","152.00","564.00","34095.00","34095.00","0.00","0","2564","20220413","36859.00","32037.00","42","0","2","2","2089"
"CreateQuote","2022/04/12 16:53:20.527230","UpdateQuote","2022/04/13 04:59:54.762193","UN2206","那斯達克2206","045955","521000","045955.521000","13952.00","1","-6.00","-0.04","13933.00","1","13975.00","1","13972.00","14.00","14287.00","-335.00","13890.00","62.00","397.00","13958.00","13958.00","14.00","0","4952","20220413","15233.00","13241.00","47","1","2","2","4218"
"CreateQuote","2022/04/12 16:53:20.527230","UpdateQuote","2022/04/13 04:59:59.255705","TX05","台指05","045544","369000","045544.369000","17007.00","1","38.00","0.22","16993.00","2","17003.00","10","16989.00","20.00","17112.00","-105.00","16949.00","58.00","163.00","16969.00","16972.00","17.00","0","1535","20220413","18709.00","15309.00","2","2","2","2","3446"
"CreateQuote","2022/04/12 16:53:20.528230","UpdateQuote","2022/04/13 04:59:58.104592","MTX05","小台05","045944","494000","045944.494000","16996.00","1","27.00","0.16","16995.00","1","16998.00","1","16991.00","22.00","17113.00","-117.00","16946.00","50.00","167.00","16969.00","16972.00","19.00","0","7394","20220413","18709.00","15309.00","9","3","2","2","14595"
