更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,筆數,索引,Page,市場,小數位數,昨量
"m_SKQuoteLib_OnNotifyQuote","2022/09/05 13:33:15.894655","TSEA","加權指","000000","000000","000000.000000","14661.10","11523","-11.94","-0.08","0.00","0","0.00","0","14670.18","-2.86","14753.03","-91.93","14632.79","28.31","120.24","14673.04","14673.04","-2.86","0","188172","20220905","16140.34","13205.74","0","28576","-1","0","2","231746"
"m_SKQuoteLib_OnNotifyQuote","2022/09/05 13:45:00.822123","0050","元大台灣50","000000","000000","000000.000000","114.15","270","0.25","0.22","114.10","22","114.15","56","114.10","0.20","114.75","-0.60","113.70","0.45","1.05","113.90","113.90","0.20","0","8827","20220905","125.25","102.55","0","0","-1","0","2","13939"
"m_SKQuoteLib_OnNotifyQuote","2022/09/05 13:45:01.009631","00632R","元大台灣50反1","000000","000000","000000.000000","5.89","4386","0.00","0.00","5.88","20127","5.89","669","5.86","-0.03","5.91","-0.02","5.84","0.05","0.07","5.89","5.89","-0.03","0","185649","20220905","6.47","5.31","0","16","-1","0","2","192254"
"m_SKQuoteLib_OnNotifyQuote","2022/09/05 13:44:59.040881","UN2209","那斯達克2209","000000","000000","000000.000000","12095.00","1","-164.00","-1.34","12097.00","4","12110.00","1","12100.00","-159.00","12138.00","-43.00","12091.00","4.00","47.00","12259.00","12136.00","-36.00","0","6820","20220905","13117.00","11401.00","0","54","-1","2","2","943"
"m_SKQuoteLib_OnNotifyQuote","2022/09/05 13:45:00.040871","TX10","台指10","000000","000000","000000.000000","14601.00","1","12.00","0.08","14600.00","1","14603.00","1","14579.00","-10.00","14703.00","-102.00","14555.00","46.00","148.00","14589.00","14555.00","24.00","0","1769","20220905","16047.00","13131.00","0","2","-1","2","2","938"
"m_SKQuoteLib_OnNotifyQuote","2022/09/05 13:45:00.040871","MTX10","小台10","000000","000000","000000.000000","14601.00","1","12.00","0.08","14601.00","8","14605.00","4","14579.00","-10.00","14709.00","-108.00","14551.00","50.00","158.00","14589.00","14550.00","29.00","0","13203","20220905","16047.00","13131.00","0","9","-1","2","2","6026"
"m_SKQuoteLib_OnNotifyQuote","2022/09/05 13:45:09.656559","2330","台積電","133000","000000","133000.000000","486.00","1679","1.00","0.21","485.50","89","486.00","164","485.00","0.00","488.00","-2.00","484.00","2.00","4.00","485.00","485.00","0.00","0","15838","20220905","533.00","436.50","4437","27725","0","0","2","29890"
"m_SKQuoteLib_OnNotifyQuote","2022/09/05 13:44:52.915772","UD09","道瓊09","134440","531000","134440.531000","31360.00","1","-218.00","-0.69","31358.00","1","31389.00","2","31330.00","-248.00","31410.00","-50.00","31330.00","30.00","80.00","31578.00","31369.00","-39.00","0","3274","20220905","33788.00","29368.00","2642","49","1","2","2","395"
"m_SKQuoteLib_OnNotifyQuote","2022/09/05 13:45:00.040871","TX09","台指09","134459","058000","134459.058000","14611.00","1","13.00","0.09","14612.00","1","14613.00","1","14590.00","-8.00","14719.00","-108.00","14561.00","50.00","158.00","14598.00","14565.00","25.00","0","176307","20220905","16057.00","13139.00","85501","1","2","2","2","92322"
"m_SKQuoteLib_OnNotifyQuote","2022/09/05 13:45:00.072116","MTX09","小台09","134459","936000","134459.936000","14614.00","2","16.00","0.11","14613.00","7","14615.00","2","14592.00","-6.00","14719.00","-105.00","14560.00","54.00","159.00","14598.00","14562.00","30.00","0","333987","20220905","16057.00","13139.00","188495","8","3","2","2","161246"
