建立者,時間,更新者,更新時,經過,代碼,名稱,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"CreateQuote","2022/04/01 08:32:37.946995","UpdateQuote","2022/04/01 13:33:14.693930","00:15:04","TSEA","加權指","000000.000000","17625.59","22209","-67.88","-0.38","0.00","0","0.00","0","17657.76","-35.71","17657.76","-32.17","17465.61","159.98","192.15","17693.47","17693.47","-35.71","0","228654","20220401","19462.82","15924.12","29857","-1","0","2","227659"
"CreateQuote","2022/04/01 08:32:37.947995","UpdateQuote","2022/04/01 13:44:59.645375","00:03:19","0050","元大台灣50","000000.000000","136.95","175","-1.15","-0.83","136.90","6","136.95","55","136.60","-1.50","136.95","0.00","136.15","0.80","0.80","138.10","138.10","-1.50","0","7680","20220401","151.90","124.30","0","-1","0","2","3550"
"CreateQuote","2022/04/01 08:32:37.947995","UpdateQuote","2022/04/01 13:44:59.820576","00:03:19","00632R","元大台灣50反1","000000.000000","5.23","5896","0.02","0.38","5.23","11444","5.24","18710","5.26","0.05","5.27","-0.04","5.23","0.00","0.04","5.21","5.21","0.05","0","95331","20220401","5.73","4.69","17","-1","0","2","77248"
"CreateQuote","2022/04/01 08:32:37.948995","UpdateQuote","2022/04/01 13:45:08.450903","00:03:11","2330","台積電","000000.000000","589.00","8277","-8.00","-1.34","588.00","48","589.00","598","585.00","-12.00","589.00","0.00","584.00","5.00","5.00","597.00","597.00","-12.00","0","29565","20220401","656.00","538.00","29013","-1","0","2","22661"
"CreateQuote","2022/04/01 08:32:37.948995","UpdateQuote","2022/04/01 13:44:29.348299","00:03:50","UD06","道瓊06","134430.303000","34712.00","1","-420.00","-1.20","34696.00","1","34725.00","1","34701.00","-431.00","34747.00","-35.00","34696.00","16.00","51.00","35132.00","34704.00","-3.00","0","1425","20220401","37591.00","32673.00","4211","0","2","2","247"
"CreateQuote","2022/04/01 08:32:37.948995","UpdateQuote","2022/04/01 13:44:39.246331","00:03:40","UN2206","那斯達克2206","134440.203000","14911.00","1","-211.00","-1.40","14910.00","9","14917.00","2","14891.00","-231.00","14936.00","-25.00","14889.00","22.00","47.00","15122.00","14910.00","-19.00","0","3974","20220401","16180.00","14064.00","4216","1","2","2","556"
"CreateQuote","2022/04/01 08:32:37.949995","UpdateQuote","2022/04/01 13:44:58.966620","00:03:20","TX04","台指04","134459.828000","17554.00","1","-80.00","-0.45","17553.00","24","17554.00","1","17466.00","-168.00","17567.00","-13.00","17414.00","140.00","153.00","17634.00","17489.00","-23.00","0","136526","20220401","19397.00","15871.00","4170","2","2","2","78011"
"CreateQuote","2022/04/01 08:32:37.949995","UpdateQuote","2022/04/01 13:44:58.968923","00:03:20","TX05","台指05","134458.688000","17524.00","1","-81.00","-0.46","17524.00","24","17528.00","1","17424.00","-181.00","17539.00","-15.00","17396.00","128.00","143.00","17605.00","17456.00","-32.00","0","1244","20220401","19365.00","15845.00","4171","3","2","2","691"
"CreateQuote","2022/04/01 08:32:37.950995","UpdateQuote","2022/04/01 13:44:58.996102","00:03:20","MTX04","小台04","134459.890000","17557.00","1","-77.00","-0.44","17556.00","1","17557.00","2","17460.00","-174.00","17567.00","-10.00","17414.00","143.00","153.00","17634.00","17488.00","-28.00","0","265466","20220401","19397.00","15871.00","4177","4","2","2","137711"
"CreateQuote","2022/04/01 08:32:37.950995","UpdateQuote","2022/04/01 13:44:58.968923","00:03:20","MTX05","小台05","134459.703000","17525.00","1","-80.00","-0.45","17527.00","1","17530.00","1","17433.00","-172.00","17538.00","-13.00","17389.00","136.00","149.00","17605.00","17459.00","-26.00","0","7788","20220401","19365.00","15845.00","4178","5","2","2","4731"
