建立者,時間,更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"CreateQuote","2022/04/13 08:32:50.480363","UpdateQuote","2022/04/13 13:33:25.111750","TSEA","加權指","000000","000000","000000.000000","17301.65","14784","310.74","1.83","0.00","0","0.00","0","17080.40","89.49","17333.21","-31.56","17080.40","221.25","252.81","16990.91","16990.91","89.49","0","260958","20220413","18690.00","15291.82","30168","-1","0","2","274703"
"CreateQuote","2022/04/13 08:32:50.480363","UpdateQuote","2022/04/13 13:45:00.733107","0050","元大台灣50","000000","000000","000000.000000","135.05","223","2.50","1.89","135.00","41","135.05","32","133.40","0.85","135.20","-0.15","133.20","1.85","2.00","132.55","132.55","0.85","0","6988","20220413","145.80","119.30","0","-1","0","2","14176"
"CreateQuote","2022/04/13 08:32:50.481363","UpdateQuote","2022/04/13 13:45:00.933152","00632R","元大台灣50反1","000000","000000","000000.000000","5.30","4253","-0.09","-1.67","5.30","16935","5.31","11416","5.36","-0.03","5.36","-0.06","5.30","0.00","0.06","5.39","5.39","-0.03","0","224916","20220413","5.92","4.86","17","-1","0","2","198254"
"CreateQuote","2022/04/13 08:32:50.481363","UpdateQuote","2022/04/13 13:44:59.951931","TX06","台指06","000000","000000","000000.000000","17231.00","1","295.00","1.74","17232.00","4","17237.00","2","16965.00","29.00","17236.00","-5.00","16965.00","266.00","271.00","16936.00","16965.00","0.00","0","369","20220413","18629.00","15243.00","3","-1","2","2","210"
"CreateQuote","2022/04/13 08:32:50.482363","UpdateQuote","2022/04/13 13:44:58.947702","MTX06","小台06","000000","000000","000000.000000","17237.00","1","301.00","1.78","17235.00","1","17238.00","6","16988.00","52.00","17237.00","0.00","16988.00","249.00","249.00","16936.00","16959.00","29.00","0","2431","20220413","18629.00","15243.00","10","-1","2","2","1254"
"CreateQuote","2022/04/13 08:32:50.482363","UpdateQuote","2022/04/13 13:45:09.532094","2330","台積電","133000","000000","133000.000000","573.00","4026","16.00","2.87","573.00","82","574.00","12","564.00","7.00","576.00","-3.00","563.00","10.00","13.00","557.00","557.00","7.00","0","35767","20220413","612.00","502.00","29324","0","0","2","30557"
"CreateQuote","2022/04/13 08:32:50.483363","UpdateQuote","2022/04/13 13:44:55.942022","UD06","道瓊06","134455","869000","134455.869000","34332.00","1","237.00","0.70","34321.00","1","34350.00","1","34227.00","132.00","34340.00","-8.00","34224.00","108.00","116.00","34095.00","34168.00","59.00","0","2841","20220413","36481.00","31709.00","42","1","2","2","535"
"CreateQuote","2022/04/13 08:32:50.483363","UpdateQuote","2022/04/13 13:44:47.821045","UN2206","那斯達克2206","134442","278000","134442.278000","14089.00","1","131.00","0.94","14089.00","1","14100.00","3","13952.00","-6.00","14098.00","-9.00","13952.00","137.00","146.00","13958.00","13952.00","0.00","0","5865","20220413","14935.00","12981.00","47","2","2","2","761"
"CreateQuote","2022/04/13 08:32:50.483363","UpdateQuote","2022/04/13 13:45:00.025947","TX05","台指05","134450","458000","134450.458000","17278.00","1","309.00","1.82","17272.00","4","17275.00","4","17053.00","84.00","17280.00","-2.00","17046.00","232.00","234.00","16969.00","17007.00","46.00","0","4384","20220413","18665.00","15273.00","2","3","2","2","2540"
"CreateQuote","2022/04/13 08:32:50.484363","UpdateQuote","2022/04/13 13:44:59.331791","MTX05","小台05","134459","278000","134459.278000","17276.00","1","307.00","1.81","17274.00","1","17277.00","1","17038.00","69.00","17278.00","-2.00","17036.00","240.00","242.00","16969.00","16996.00","42.00","0","17732","20220413","18665.00","15273.00","9","4","2","2","8814"
