建立者,時間,更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,筆數,索引,Page,市場,小數位數,昨量
"CreateOrUpdate","2022/05/25 22:29:53.660262","Update","2022/05/25 22:29:53.755133","TSEA","加權指","000000","000000","000000.000000","16104.03","452","140.40","0.88","0.00","0","0.00","0","15987.74","24.11","16169.18","-65.15","15980.90","123.13","188.28","15963.63","15963.63","24.11","0","213473","20220525","17559.99","14367.27","0","30606","-1","0","2","208559"
"CreateOrUpdate","2022/05/25 22:29:53.663263","Update","2022/05/25 22:29:53.737393","0050","元大台灣50","000000","000000","000000.000000","124.45","5","0.95","0.77","124.45","13","124.50","41","123.70","0.20","124.70","-0.25","123.45","1.00","1.25","123.50","123.50","0.20","0","2545","20220525","135.85","111.15","0","0","-1","0","2","5011"
"CreateOrUpdate","2022/05/25 22:29:53.663263","Update","2022/05/25 22:29:53.755133","00632R","元大台灣50反1","000000","000000","000000.000000","5.66","113","-0.05","-0.88","5.65","3298","5.66","12647","5.68","-0.03","5.70","-0.04","5.63","0.03","0.07","5.71","5.71","-0.03","0","157459","20220525","6.28","5.14","0","17","-1","0","2","138637"
"CreateOrUpdate","2022/05/25 22:29:53.664262","Update","2022/05/26 04:59:51.510924","UN2206","那斯達克2206","000000","000000","000000.000000","11877.00","1","20.00","0.17","11877.00","1","11914.00","1","11877.00","20.00","12035.00","-158.00","11679.00","198.00","356.00","11857.00","11859.00","18.00","0","5834","20220526","12686.00","11028.00","0","4299","-1","2","2","4941"
"CreateOrUpdate","2022/05/25 22:29:53.665263","Update","2022/05/26 04:59:59.260699","TX07","台指07","000000","000000","000000.000000","15722.00","1","46.00","0.29","15718.00","1","15724.00","1","15697.00","21.00","15812.00","-90.00","15587.00","135.00","225.00","15676.00","15676.00","21.00","0","662","20220526","17243.00","14109.00","0","4252","-1","2","2","1506"
"CreateOrUpdate","2022/05/25 22:29:53.666263","Update","2022/05/26 04:59:59.495576","MTX07","小台07","000000","000000","000000.000000","15724.00","1","48.00","0.31","15724.00","1","15729.00","4","15690.00","14.00","15811.00","-87.00","15588.00","136.00","223.00","15676.00","15676.00","14.00","0","4646","20220526","17243.00","14109.00","0","4259","-1","2","2","8194"
"CreateOrUpdate","2022/05/25 22:29:53.675359","Update","2022/05/25 22:29:53.742115","2330","台積電","000000","000000","000000.000000","524.00","41","4.00","0.77","524.00","691","525.00","126","522.00","2.00","529.00","-5.00","520.00","4.00","9.00","520.00","520.00","2.00","0","22151","20220525","572.00","468.00","0","29760","-1","0","2","17737"
"CreateOrUpdate","2022/05/25 22:29:53.675359","Update","2022/05/26 04:59:51.135477","UD06","道瓊06","045900","205000","045900.205000","32070.00","1","100.00","0.31","32054.00","1","32070.00","1","32000.00","30.00","32215.00","-145.00","31693.00","377.00","522.00","31970.00","31970.00","30.00","0","3637","20220526","34207.00","29733.00","2893","4294","0","2","2","3654"
"CreateOrUpdate","2022/05/25 22:29:53.676360","Update","2022/05/26 04:59:59.260699","TX06","台指06","045948","963000","045948.963000","16110.00","1","49.00","0.31","16108.00","1","16109.00","1","16073.00","12.00","16203.00","-93.00","15962.00","148.00","241.00","16061.00","16060.00","13.00","0","96254","20220526","17667.00","14455.00","49025","4251","1","2","2","185214"
"CreateOrUpdate","2022/05/25 22:29:53.676360","Update","2022/05/26 04:59:59.495576","MTX06","小台06","045959","480000","045959.480000","16110.00","1","49.00","0.31","16109.00","3","16110.00","4","16078.00","17.00","16202.00","-92.00","15961.00","149.00","241.00","16061.00","16065.00","13.00","0","204611","20220526","17667.00","14455.00","115944","4258","2","2","2","344893"
