更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,筆數,索引,Page,市場,小數位數,昨量
"m_SKQuoteLib_OnNotifyQuote","2023/11/23 05:16:48.247187","UN2312","那斯達克2312","000000","000000","000000.000000","16050.00","16","83.00","0.52","16045.00","5","16069.00","4","15948.00","-19.00","16170.00","-120.00","15941.00","109.00","229.00","15967.00","15986.00","-38.00","0","2500","20231123","17084.00","14850.00","0","4870","-1","2","2","434"
"m_SKQuoteLib_OnNotifyQuote","2023/11/23 05:16:48.247187","TX03","台指03","000000","000000","000000.000000","17278.00","1","-12.00","-0.07","17303.00","1","17310.00","5","17272.00","-18.00","17335.00","-57.00","17239.00","39.00","96.00","17290.00","17335.00","-63.00","0","16","20231123","19019.00","15561.00","0","4816","-1","2","2","20"
"m_SKQuoteLib_OnNotifyQuote","2023/11/23 05:16:48.247187","MTX03","小台03","000000","000000","000000.000000","17305.00","1","15.00","0.09","17302.00","1","17306.00","1","17285.00","-5.00","17347.00","-42.00","17235.00","70.00","112.00","17290.00","17326.00","-41.00","0","239","20231123","19019.00","15561.00","0","4823","-1","2","2","259"
"m_SKQuoteLib_OnNotifyQuote","2023/11/23 05:16:48.247187","UD12","道瓊12","000000","000000","000000.000000","35332.00","1","204.00","0.58","35248.00","3","35332.00","2","35155.00","27.00","35338.00","-6.00","35140.00","192.00","198.00","35128.00","35150.00","5.00","0","447","20231123","37586.00","32670.00","0","4865","0","2","2","59"
"m_SKQuoteLib_OnNotifyQuote","2023/11/23 05:16:48.247187","TX12","台指12","000000","000000","000000.000000","17306.00","2","17.00","0.10","17300.00","3","17304.00","5","17263.00","-26.00","17350.00","-44.00","17225.00","81.00","125.00","17289.00","17331.00","-68.00","0","57417","20231123","19017.00","15561.00","0","4813","1","2","2","65436"
"m_SKQuoteLib_OnNotifyQuote","2023/11/23 05:16:48.247187","MTX12","小台12","000000","000000","000000.000000","17304.00","1","15.00","0.09","17300.00","1","17304.00","12","17263.00","-26.00","17350.00","-46.00","17225.00","79.00","125.00","17289.00","17328.00","-65.00","0","112649","20231123","19017.00","15561.00","0","4820","2","2","2","103591"
"m_SKQuoteLib_OnNotifyQuote","2023/11/23 05:16:48.247187","TXO16300L3","台選12C","000000","000000","000000.000000","1030.00","1","20.00","1.98","178.00","10","0.00","0","1030.00","20.00","1030.00","0.00","1030.00","0.00","0.00","1010.00","1050.00","-20.00","0","1","20231123","2740.00","0.10","0","71","-1","3","2","4"
"m_SKQuoteLib_OnNotifyQuote","2023/11/23 05:16:48.247187","TXO16500L3","台選12C","000000","000000","000000.000000","820.00","5","-5.00","-0.61","178.00","10","0.00","0","850.00","25.00","850.00","-30.00","820.00","0.00","30.00","825.00","870.00","-20.00","0","7","20231123","2550.00","0.10","0","75","-1","3","2","7"
"m_SKQuoteLib_OnNotifyQuote","2023/11/23 05:16:48.250187","TXO16700L3","台選12C","000000","000000","000000.000000","610.00","1","-30.00","-4.69","580.00","1","0.00","0","610.00","-30.00","665.00","-55.00","590.00","20.00","75.00","640.00","695.00","-85.00","0","22","20231123","2370.00","0.10","0","79","-1","3","2","48"
"m_SKQuoteLib_OnNotifyQuote","2023/11/23 05:16:48.247187","TXO16900L3","台選12C","000000","000000","000000.000000","488.00","1","-4.00","-0.81","452.00","1","750.00","1","495.00","3.00","530.00","-42.00","439.00","49.00","91.00","492.00","525.00","-30.00","0","183","20231123","2220.00","0.10","0","83","-1","3","2","149"
