更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,筆數,索引,Page,市場,小數位數,昨量
"m_SKQuoteLib_OnNotifyQuote","2022/07/26 14:54:13.830324","TSEA","加權指","000000","000000","000000.000000","14806.78","406","-129.55","-0.87","0.00","0","0.00","0","14912.41","-23.92","14912.41","-105.63","14750.71","56.07","161.70","14936.33","14936.33","-23.92","0","183745","20220726","16429.96","13442.70","0","29772","-1","0","2","182788"
"m_SKQuoteLib_OnNotifyQuote","2022/07/26 14:54:13.830324","0050","元大台灣50","000000","000000","000000.000000","115.65","176","-1.05","-0.90","115.60","151","115.65","9","116.60","-0.10","116.60","-0.95","115.30","0.35","1.30","116.70","116.70","-0.10","0","12607","20220726","128.35","105.05","0","0","-1","0","2","10522"
"m_SKQuoteLib_OnNotifyQuote","2022/07/26 14:54:13.830324","00632R","元大台灣50反1","000000","000000","000000.000000","5.90","100","0.05","0.85","5.89","12634","5.90","1878","5.87","0.02","5.92","-0.02","5.86","0.04","0.06","5.85","5.85","0.02","0","132137","20220726","6.43","5.27","0","16","-1","0","2","122231"
"m_SKQuoteLib_OnNotifyQuote","2022/07/27 04:59:18.562190","UN2209","那斯達克2209","000000","000000","000000.000000","12169.00","1","-131.00","-1.07","12178.00","1","12184.00","1","12300.00","0.00","12333.00","-164.00","12075.00","94.00","258.00","12300.00","12300.00","0.00","0","3003","20220727","13269.00","11533.00","0","4379","-1","2","2","3805"
"m_SKQuoteLib_OnNotifyQuote","2022/07/27 04:59:58.937114","TX09","台指09","000000","000000","000000.000000","14568.00","1","-67.00","-0.46","14563.00","3","14572.00","7","14643.00","8.00","14654.00","-86.00","14512.00","56.00","142.00","14635.00","14634.00","9.00","0","402","20220727","16187.00","13245.00","0","4327","-1","2","2","1008"
"m_SKQuoteLib_OnNotifyQuote","2022/07/27 04:59:58.437085","MTX09","小台09","000000","000000","000000.000000","14560.00","1","-75.00","-0.51","14561.00","1","14566.00","1","14624.00","-11.00","14658.00","-98.00","14514.00","46.00","144.00","14635.00","14634.00","-10.00","0","3077","20220727","16187.00","13245.00","0","4334","-1","2","2","7373"
"m_SKQuoteLib_OnNotifyQuote","2022/07/26 14:54:13.830324","2330","台積電","000000","000000","000000.000000","495.00","28","-4.50","-0.90","494.50","28","495.00","347","499.50","0.00","499.50","-4.50","491.00","4.00","8.50","499.50","499.50","0.00","0","17990","20220726","549.00","450.00","0","28921","-1","0","2","15220"
"m_SKQuoteLib_OnNotifyQuote","2022/07/27 04:58:10.938167","UD09","道瓊09","043815","767000","043815.767000","31770.00","1","-62.00","-0.19","31745.00","1","31763.00","1","31858.00","26.00","31909.00","-139.00","31674.00","96.00","235.00","31832.00","31829.00","29.00","0","1891","20220727","34048.00","29594.00","1453","4374","0","2","2","2797"
"m_SKQuoteLib_OnNotifyQuote","2022/07/27 04:59:58.955177","TX08","台指08","045959","348000","045959.348000","14640.00","1","-67.00","-0.46","14635.00","3","14640.00","7","14699.00","-8.00","14730.00","-90.00","14581.00","59.00","149.00","14707.00","14705.00","-6.00","0","45699","20220727","16272.00","13314.00","23975","4326","1","2","2","131415"
"m_SKQuoteLib_OnNotifyQuote","2022/07/27 04:59:58.455658","MTX08","小台08","045958","850000","045958.850000","14633.00","1","-74.00","-0.50","14633.00","1","14634.00","1","14699.00","-8.00","14731.00","-98.00","14582.00","51.00","149.00","14707.00","14709.00","-10.00","0","99870","20220727","16272.00","13314.00","53461","4333","2","2","2","264741"
"m_SKQuoteLib_OnNotifyQuote","2022/07/27 04:59:59.222199","TXO14400H2","台選08C","000000","000000","000000.000000","438.00","1","-47.00","-9.69","411.00","1","595.00","1","485.00","0.00","494.00","-56.00","410.00","28.00","84.00","485.00","0.00","0.00","0","50","20220727","2040.00","0.10","0","5892","-1","3","2","122"
"m_SKQuoteLib_OnNotifyQuote","2022/07/27 04:59:59.221197","TXO14500H2","台選08C","000000","000000","000000.000000","355.00","3","-66.00","-15.68","330.00","6","405.00","1","426.00","5.00","426.00","-71.00","348.00","7.00","78.00","421.00","0.00","0.00","0","308","20220727","1970.00","0.10","0","5894","-1","3","2","238"
"m_SKQuoteLib_OnNotifyQuote","2022/07/27 04:59:59.219591","TXO14600H2","台選08C","000000","000000","000000.000000","300.00","4","-49.00","-14.04","283.00","2","310.00","1","354.00","5.00","363.00","-63.00","283.00","17.00","80.00","349.00","0.00","0.00","0","280","20220727","1900.00","0.10","0","5896","-1","3","2","438"
"m_SKQuoteLib_OnNotifyQuote","2022/07/27 04:59:59.219591","TXO14700H2","台選08C","000000","000000","000000.000000","247.00","1","-47.00","-15.99","246.00","1","254.00","1","293.00","-1.00","305.00","-58.00","227.00","20.00","78.00","294.00","0.00","0.00","0","494","20220727","1840.00","0.10","0","5898","-1","3","2","1682"
"m_SKQuoteLib_OnNotifyQuote","2022/07/27 04:59:59.217932","TXO14800H2","台選08C","000000","000000","000000.000000","206.00","1","-33.00","-13.81","202.00","1","207.00","1","240.00","1.00","251.00","-45.00","186.00","20.00","65.00","239.00","0.00","0.00","0","500","20220727","1780.00","0.10","0","5900","-1","3","2","2114"
"m_SKQuoteLib_OnNotifyQuote","2022/07/27 04:59:59.218422","TXO14900H2","台選08C","000000","000000","000000.000000","156.00","1","-39.00","-20.00","158.00","2","168.00","1","195.00","0.00","203.00","-47.00","152.00","4.00","51.00","195.00","0.00","0.00","0","556","20220727","1730.00","0.10","0","5902","-1","3","2","2249"
"m_SKQuoteLib_OnNotifyQuote","2022/07/27 04:59:50.006030","TXO15000H2","台選08C","000000","000000","000000.000000","131.00","1","-25.00","-16.03","130.00","1","131.00","1","157.00","1.00","162.00","-31.00","119.00","12.00","43.00","156.00","0.00","0.00","0","1378","20220727","1680.00","0.10","0","5904","-1","3","2","3798"
"m_SKQuoteLib_OnNotifyQuote","2022/07/27 04:59:59.217932","TXO14400T2","台選08P","000000","000000","000000.000000","201.00","1","23.00","12.92","201.00","2","225.00","4","182.00","4.00","224.00","-23.00","170.00","31.00","54.00","178.00","0.00","0.00","0","343","20220727","1650.00","0.10","0","5891","-1","3","2","1837"
"m_SKQuoteLib_OnNotifyQuote","2022/07/27 04:59:59.217718","TXO14500T2","台選08P","000000","000000","000000.000000","240.00","1","31.00","14.83","232.00","2","248.00","1","209.00","0.00","260.00","-20.00","202.00","38.00","58.00","209.00","0.00","0.00","0","537","20220727","1670.00","0.10","0","5893","-1","3","2","1599"
"m_SKQuoteLib_OnNotifyQuote","2022/07/27 04:59:55.969317","TXO14600T2","台選08P","000000","000000","000000.000000","281.00","1","34.00","13.77","265.00","1","281.00","1","247.00","0.00","303.00","-22.00","237.00","44.00","66.00","247.00","0.00","0.00","0","435","20220727","1710.00","0.10","0","5895","-1","3","2","2155"
"m_SKQuoteLib_OnNotifyQuote","2022/07/27 04:59:35.717699","TXO14700T2","台選08P","000000","000000","000000.000000","320.00","2","34.00","11.89","312.00","1","324.00","1","282.00","-4.00","348.00","-28.00","276.00","44.00","72.00","286.00","0.00","0.00","0","308","20220727","1740.00","0.10","0","5897","-1","3","2","1867"
"m_SKQuoteLib_OnNotifyQuote","2022/07/27 04:59:59.218933","TXO14800T2","台選08P","000000","000000","000000.000000","379.00","1","47.00","14.16","363.00","4","401.00","1","328.00","-4.00","402.00","-23.00","323.00","56.00","79.00","332.00","0.00","0.00","0","412","20220727","1780.00","0.10","0","5899","-1","3","2","1457"
"m_SKQuoteLib_OnNotifyQuote","2022/07/27 04:59:59.220186","TXO14900T2","台選08P","000000","000000","000000.000000","432.00","1","41.00","10.49","424.00","1","488.00","1","388.00","-3.00","482.00","-50.00","378.00","54.00","104.00","391.00","0.00","0.00","0","214","20220727","1830.00","0.10","0","5901","-1","3","2","598"
"m_SKQuoteLib_OnNotifyQuote","2022/07/27 04:59:59.219591","TXO15000T2","台選08P","000000","000000","000000.000000","520.00","1","75.00","16.85","471.00","1","550.00","2","440.00","-5.00","530.00","-10.00","435.00","85.00","95.00","445.00","0.00","0.00","0","48","20220727","1890.00","0.10","0","5903","-1","3","2","477"
