建立者,時間,更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"CreateQuote","2022/04/09 13:28:51.029047","UpdateQuote","2022/04/09 13:28:51.063055","TSEA","加權指","000000","000000","000000.000000","17284.54","545","105.91","0.62","0.00","0","0.00","0","17210.40","31.77","17316.69","-32.15","17210.40","74.14","106.29","17178.63","0.00","0.00","0","246209","20220408","18896.49","15460.77","29954","-1","0","2","310665"
"CreateQuote","2022/04/09 13:28:51.030047","UpdateQuote","2022/04/09 13:28:51.060054","0050","元大台灣50","000000","000000","000000.000000","134.55","9","0.75","0.56","134.50","88","134.55","75","134.10","0.30","134.55","0.00","133.75","0.80","0.80","133.80","0.00","0.00","0","8930","20220408","147.15","120.45","0","-1","0","2","14644"
"CreateQuote","2022/04/09 13:28:51.031048","UpdateQuote","2022/04/09 13:28:51.060054","00632R","元大台灣50反1","000000","000000","000000.000000","5.31","304","-0.04","-0.75","5.31","10224","5.32","17506","5.33","-0.02","5.35","-0.04","5.30","0.01","0.05","5.35","0.00","0.00","0","135556","20220408","5.88","4.82","17","-1","0","2","167099"
"CreateQuote","2022/04/09 13:28:51.031048","UpdateQuote","2022/04/09 13:28:51.069056","TX06","台指06","000000","000000","000000.000000","17162.00","1","-82.00","-0.48","17161.00","5","17171.00","10","17273.00","29.00","17315.00","-153.00","17150.00","12.00","165.00","17244.00","0.00","0.00","0","115","20220411","18968.00","15520.00","3","-1","2","2","242"
"CreateQuote","2022/04/09 13:28:51.031048","UpdateQuote","2022/04/09 13:28:51.069056","MTX06","小台06","000000","000000","000000.000000","17165.00","1","-79.00","-0.46","17163.00","10","17169.00","1","17258.00","14.00","17319.00","-154.00","17150.00","15.00","169.00","17244.00","0.00","0.00","0","678","20220411","18968.00","15520.00","10","-1","2","2","1247"
"CreateQuote","2022/04/09 13:28:51.032048","UpdateQuote","2022/04/09 13:28:51.060054","2330","台積電","000000","000000","000000.000000","567.00","27","1.00","0.18","567.00","488","568.00","160","567.00","1.00","570.00","-3.00","566.00","1.00","4.00","566.00","0.00","0.00","0","27971","20220408","622.00","510.00","29110","-1","0","2","42760"
"CreateQuote","2022/04/09 13:28:51.032048","UpdateQuote","2022/04/09 13:28:51.076058","UD06","道瓊06","000000","000000","000000.000000","34664.00","1","192.00","0.56","34641.00","1","34665.00","1","34569.00","97.00","34817.00","-153.00","34383.00","281.00","434.00","34472.00","0.00","0.00","0","1899","20220411","36885.00","32059.00","42","-1","2","2","1908"
"CreateQuote","2022/04/09 13:28:51.033048","UpdateQuote","2022/04/09 13:28:51.069056","UN2206","那斯達克2206","000000","000000","000000.000000","14333.00","1","-219.00","-1.50","14330.00","45","14362.00","1","14605.00","53.00","14644.00","-311.00","14319.00","14.00","325.00","14552.00","0.00","0.00","0","4285","20220411","15570.00","13534.00","47","-1","2","2","5741"
"CreateQuote","2022/04/09 13:28:51.033048","UpdateQuote","2022/04/09 13:28:51.069056","TX05","台指05","000000","000000","000000.000000","17200.00","1","-78.00","-0.45","17195.00","6","17205.00","18","17300.00","22.00","17352.00","-152.00","17183.00","17.00","169.00","17278.00","0.00","0.00","0","885","20220411","19005.00","15551.00","2","-1","2","2","1687"
"CreateQuote","2022/04/09 13:28:51.034048","UpdateQuote","2022/04/09 13:28:51.063055","MTX05","小台05","000000","000000","000000.000000","17197.00","1","-81.00","-0.47","17197.00","1","17201.00","1","17299.00","21.00","17354.00","-157.00","17183.00","14.00","171.00","17278.00","0.00","0.00","0","5108","20220411","19005.00","15551.00","9","-1","2","2","9271"
