建立者,時間,更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"CreateQuote","2022/04/19 09:11:06.996744","UpdateQuote","2022/04/19 13:33:25.283319","TSEA","加權指","000000","000000","000000.000000","16993.40","16521","94.53","0.56","0.00","0","0.00","0","16926.34","27.47","17106.26","-112.86","16926.34","67.06","179.92","16898.87","16898.87","27.47","0","226694","20220419","18588.76","15208.98","30347","-1","0","2","229361"
"CreateQuote","2022/04/19 09:11:06.996744","UpdateQuote","2022/04/19 13:45:00.295902","0050","元大台灣50","000000","000000","000000.000000","132.00","47","0.45","0.34","132.00","15","132.05","120","132.25","0.70","132.95","-0.95","131.85","0.15","1.10","131.55","131.55","0.70","0","9045","20220419","144.70","118.40","0","-1","0","2","17915"
"CreateQuote","2022/04/19 09:11:06.997745","UpdateQuote","2022/04/19 13:45:00.446568","00632R","元大台灣50反1","000000","000000","000000.000000","5.38","5683","-0.05","-0.92","5.38","10125","5.39","9729","5.38","-0.05","5.39","-0.01","5.35","0.03","0.04","5.43","5.43","-0.05","0","110306","20220419","5.97","4.89","17","-1","0","2","127261"
"CreateQuote","2022/04/19 09:11:06.997745","UpdateQuote","2022/04/19 13:44:48.909623","UN2206","那斯達克2206","000000","000000","000000.000000","13975.00","1","205.00","1.49","13963.00","1","13990.00","2","13783.00","13.00","14004.00","-29.00","13775.00","200.00","229.00","13770.00","13968.00","-185.00","0","3659","20220419","14733.00","12807.00","4206","-1","2","2","486"
"CreateQuote","2022/04/19 09:11:06.998745","UpdateQuote","2022/04/19 13:45:00.020781","TX06","台指06","000000","000000","000000.000000","16933.00","1","122.00","0.73","16926.00","3","16933.00","5","16817.00","6.00","17043.00","-110.00","16814.00","119.00","229.00","16811.00","16935.00","-118.00","0","220","20220419","18492.00","15130.00","4164","-1","2","2","144"
"CreateQuote","2022/04/19 09:11:06.998745","UpdateQuote","2022/04/19 13:44:59.791089","MTX06","小台06","000000","000000","000000.000000","16932.00","1","121.00","0.72","16929.00","10","16935.00","11","16807.00","-4.00","17040.00","-108.00","16804.00","128.00","236.00","16811.00","16933.00","-126.00","0","2087","20220419","18492.00","15130.00","4171","-1","2","2","1212"
"CreateQuote","2022/04/19 09:11:06.998745","UpdateQuote","2022/04/19 13:45:09.096024","2330","台積電","133000","000000","133000.000000","565.00","3185","4.00","0.71","564.00","98","565.00","114","566.00","5.00","569.00","-4.00","563.00","2.00","6.00","561.00","561.00","5.00","0","16545","20220419","617.00","505.00","29504","0","0","2","15724"
"CreateQuote","2022/04/19 09:11:06.999745","UpdateQuote","2022/04/19 13:44:53.661717","UD06","道瓊06","134422","603000","134422.603000","34400.00","1","127.00","0.37","34391.00","2","34404.00","1","34312.00","39.00","34530.00","-130.00","34186.00","214.00","344.00","34273.00","34372.00","-60.00","0","6896","20220419","36672.00","31874.00","4201","1","2","2","328"
"CreateQuote","2022/04/19 09:11:06.999745","UpdateQuote","2022/04/19 13:44:59.799254","TX05","台指05","134459","817000","134459.817000","16966.00","1","119.00","0.71","16965.00","4","16970.00","15","16855.00","8.00","17083.00","-117.00","16843.00","123.00","240.00","16847.00","16969.00","-114.00","0","25369","20220419","18531.00","15163.00","4163","2","2","2","11200"
"CreateQuote","2022/04/19 09:11:06.999745","UpdateQuote","2022/04/19 13:44:59.669515","MTX05","小台05","134459","411000","134459.411000","16968.00","1","121.00","0.72","16968.00","9","16971.00","3","16849.00","2.00","17082.00","-114.00","16843.00","125.00","239.00","16847.00","16970.00","-121.00","0","42583","20220419","18531.00","15163.00","4170","3","2","2","21600"
