建立者,時間,更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,筆數,索引,Page,市場,小數位數,昨量
"CreateOrUpdate","2022/06/13 08:34:55.241100","m_SKQuoteLib_OnNotifyQuote","2022/06/13 13:33:14.925356","TSEA","加權指","000000","000000","000000.000000","16070.98","15684","-389.14","-2.36","0.00","0","0.00","0","16295.07","-165.05","16295.07","-224.09","16055.89","15.09","239.18","16460.12","16460.12","-165.05","0","229258","20220613","18106.13","14814.11","0","30059","-1","0","2","185628"
"CreateOrUpdate","2022/06/13 08:34:55.243103","m_SKQuoteLib_OnNotifyQuote","2022/06/13 13:44:59.819431","0050","元大台灣50","000000","000000","000000.000000","123.55","201","-3.55","-2.79","123.55","157","123.60","52","124.10","-3.00","124.25","-0.70","123.45","0.10","0.80","127.10","127.10","-3.00","0","16794","20220613","139.80","114.40","0","0","-1","0","2","4243"
"CreateOrUpdate","2022/06/13 08:34:55.244101","m_SKQuoteLib_OnNotifyQuote","2022/06/13 13:45:00.019641","00632R","元大台灣50反1","000000","000000","000000.000000","5.65","8128","0.13","2.36","5.65","11494","5.66","19600","5.64","0.12","5.67","-0.02","5.63","0.02","0.04","5.52","5.52","0.12","0","203258","20220613","6.07","4.97","0","16","-1","0","2","104393"
"CreateOrUpdate","2022/06/13 08:34:55.245104","m_SKQuoteLib_OnNotifyQuote","2022/06/13 13:44:54.173010","UN2206","那斯達克2206","000000","000000","000000.000000","11590.00","1","-738.00","-5.99","11588.00","1","11594.00","1","11629.00","-699.00","11640.00","-50.00","11559.00","31.00","81.00","12328.00","11853.00","-224.00","0","8037","20220613","13190.00","11466.00","0","4279","-1","2","2","835"
"CreateOrUpdate","2022/06/13 08:34:55.246101","m_SKQuoteLib_OnNotifyQuote","2022/06/13 13:44:59.140221","TX07","台指07","000000","000000","000000.000000","15632.00","1","-403.00","-2.51","15620.00","2","15633.00","2","15731.00","-304.00","15733.00","-101.00","15568.00","64.00","165.00","16035.00","15833.00","-102.00","0","14598","20220613","17638.00","14432.00","0","4236","-1","2","2","2592"
"CreateOrUpdate","2022/06/13 08:34:55.246101","m_SKQuoteLib_OnNotifyQuote","2022/06/13 13:44:58.919561","MTX07","小台07","000000","000000","000000.000000","15626.00","1","-409.00","-2.55","15620.00","1","15628.00","15","15731.00","-304.00","15731.00","-105.00","15569.00","57.00","162.00","16035.00","15829.00","-98.00","0","29828","20220613","17638.00","14432.00","0","4243","-1","2","2","7686"
"CreateOrUpdate","2022/06/13 08:34:55.254105","m_SKQuoteLib_OnNotifyQuote","2022/06/13 13:45:08.619773","2330","台積電","133000","000000","133000.000000","516.00","4468","-14.00","-2.64","516.00","120","517.00","297","518.00","-12.00","519.00","-3.00","515.00","1.00","4.00","530.00","530.00","-12.00","0","32701","20220613","583.00","477.00","11186","29211","0","0","2","21319"
"CreateOrUpdate","2022/06/13 08:34:55.255106","m_SKQuoteLib_OnNotifyQuote","2022/06/13 13:44:32.639897","UD06","道瓊06","134329","446000","134329.446000","31022.00","1","-1279.00","-3.96","31006.00","1","31070.00","4","31117.00","-1184.00","31124.00","-102.00","30986.00","36.00","138.00","32301.00","31445.00","-328.00","0","4160","20220613","34562.00","30040.00","3200","4274","1","2","2","286"
"CreateOrUpdate","2022/06/13 08:34:55.256106","m_SKQuoteLib_OnNotifyQuote","2022/06/13 13:44:59.138220","TX06","台指06","134459","700000","134459.700000","16053.00","1","-421.00","-2.56","16049.00","3","16053.00","2","16115.00","-359.00","16120.00","-67.00","15993.00","60.00","127.00","16474.00","16260.00","-145.00","0","183157","20220613","18121.00","14827.00","91576","4235","2","2","2","82802"
"CreateOrUpdate","2022/06/13 08:34:55.256106","m_SKQuoteLib_OnNotifyQuote","2022/06/13 13:44:59.171428","MTX06","小台06","134459","976000","134459.976000","16050.00","1","-424.00","-2.57","16050.00","1","16054.00","11","16121.00","-353.00","16127.00","-77.00","15992.00","58.00","135.00","16474.00","16263.00","-142.00","0","322313","20220613","18121.00","14827.00","180274","4242","3","2","2","138124"
