建立者,時間,更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"CreateQuote","2022/04/15 16:56:12.675095","UpdateQuote","2022/04/15 16:56:12.779383","TSEA","加權指","000000","000000","000000.000000","17004.18","748","-241.47","-1.40","0.00","0","0.00","0","17139.34","-106.31","17141.33","-137.15","17004.18","0.00","137.15","17245.65","17245.65","-106.31","0","268913","20220415","18970.22","15521.08","30205","-1","0","2","255561"
"CreateQuote","2022/04/15 16:56:12.676104","UpdateQuote","2022/04/15 16:56:12.779203","0050","元大台灣50","000000","000000","000000.000000","132.25","4","-2.30","-1.71","132.20","6","132.25","124","132.85","-1.70","133.05","-0.80","132.00","0.25","1.05","134.55","134.55","-1.70","0","20628","20220415","148.00","121.10","0","-1","0","2","4941"
"CreateQuote","2022/04/15 16:56:12.677098","UpdateQuote","2022/04/15 16:56:12.739897","00632R","元大台灣50反1","000000","000000","000000.000000","5.40","359","0.09","1.69","5.39","25670","5.40","7859","5.37","0.06","5.41","-0.01","5.36","0.04","0.05","5.31","5.31","0.06","0","191899","20220415","5.84","4.78","17","-1","0","2","99444"
"CreateQuote","2022/04/15 16:56:12.677098","UpdateQuote","2022/04/16 04:59:58.210455","TX06","台指06","000000","000000","000000.000000","16922.00","1","7.00","0.04","16921.00","1","16928.00","4","16892.00","-23.00","16937.00","-15.00","16875.00","47.00","62.00","16915.00","16915.00","-23.00","0","21","20220418","18935.00","15493.00","3","-1","2","2","223"
"CreateQuote","2022/04/15 16:56:12.677098","UpdateQuote","2022/04/16 04:59:59.132157","MTX06","小台06","000000","000000","000000.000000","16926.00","1","11.00","0.07","16916.00","2","16925.00","2","16901.00","-14.00","16948.00","-22.00","16870.00","56.00","78.00","16915.00","16910.00","-9.00","0","382","20220418","18935.00","15493.00","10","-1","2","2","2432"
"CreateQuote","2022/04/15 16:56:12.678098","UpdateQuote","2022/04/15 16:56:12.779383","2330","台積電","000000","000000","000000.000000","562.00","168","-11.00","-1.92","561.00","2102","562.00","141","562.00","-11.00","566.00","-4.00","561.00","1.00","5.00","573.00","573.00","-11.00","0","28129","20220415","630.00","516.00","29361","-1","0","2","19017"
"CreateQuote","2022/04/15 16:56:12.678098","UpdateQuote","2022/04/16 04:48:28.216261","UD06","道瓊06","000602","440000","000602.440000","34377.00","1","17.00","0.05","34346.00","4","34380.00","1","34377.00","17.00","34448.00","-71.00","34370.00","7.00","78.00","34360.00","34360.00","17.00","0","17","20220418","36959.00","32125.00","40","0","2","2","1973"
"CreateQuote","2022/04/15 16:56:12.679099","UpdateQuote","2022/04/16 04:59:22.581901","UN2206","那斯達克2206","045918","111000","045918.111000","13871.00","1","-24.00","-0.17","13870.00","1","13894.00","3","13895.00","0.00","13896.00","-25.00","13838.00","33.00","58.00","13895.00","13895.00","0.00","0","24","20220418","15290.00","13290.00","45","1","2","2","3702"
"CreateQuote","2022/04/15 16:56:12.679390","UpdateQuote","2022/04/16 04:59:57.213268","TX05","台指05","045928","645000","045928.645000","16960.00","2","13.00","0.08","16960.00","1","16964.00","4","16942.00","-5.00","16985.00","-25.00","16906.00","54.00","79.00","16947.00","16947.00","-5.00","0","954","20220418","18976.00","15526.00","2","2","2","2","8080"
"CreateQuote","2022/04/15 16:56:12.679390","UpdateQuote","2022/04/16 04:59:59.132157","MTX05","小台05","045931","441000","045931.441000","16958.00","8","11.00","0.06","16956.00","1","16963.00","2","16956.00","9.00","16986.00","-28.00","16904.00","54.00","82.00","16947.00","16948.00","8.00","0","3210","20220418","18976.00","15526.00","9","3","2","2","21322"
