建立者,時間,更新者,更新時,經過,代碼,名稱,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"GetStockByNoLONG","2022/03/29 23:18:22.672813","OnNotifyQuote","2022/03/29 23:18:22.790151","05:45:07","TSEA","加權指","000000.000000","17548.66","579","28.65","0.16","0.00","0","0.00","0","17568.32","48.31","17585.91","-37.25","17493.01","55.65","92.90","17520.01","17520.01","48.31","0","253416","20220329","19272.01","15768.01","30282","-1","0","2","235441"
"GetStockByNoLONG","2022/03/29 23:18:22.674806","OnNotifyQuote","2022/03/29 23:18:22.764805","05:45:07","0050","元大台灣50","000000.000000","136.85","8","0.15","0.11","136.85","53","136.90","34","137.00","0.30","137.20","-0.35","136.60","0.25","0.60","136.70","136.70","0.30","0","6436","20220329","150.35","123.05","0","-1","0","2","10446"
"GetStockByNoLONG","2022/03/29 23:18:22.676809","OnNotifyQuote","2022/03/29 23:18:22.757692","05:45:07","00632R","元大台灣50反1","000000.000000","5.24","64","-0.01","-0.19","5.23","17921","5.24","6919","5.23","-0.02","5.26","-0.02","5.22","0.02","0.04","5.25","5.25","-0.02","0","49444","20220329","5.77","4.73","17","-1","0","2","130725"
"GetStockByNoLONG","2022/03/29 23:18:22.677923","OnNotifyQuote","2022/03/29 23:18:22.790151","05:45:07","2330","台積電","000000.000000","589.00","25","5.00","0.86","588.00","473","589.00","337","586.00","2.00","589.00","0.00","584.00","5.00","5.00","584.00","584.00","2.00","0","14864","20220329","642.00","526.00","29439","-1","0","2","26301"
"GetStockByNoLONG","2022/03/29 23:18:22.678693","OnNotifyQuote","2022/03/30 04:59:38.331693","00:03:51","UD06","道瓊06","045902.209000","35126.00","1","201.00","0.58","35125.00","1","35155.00","1","34927.00","2.00","35277.00","-151.00","34875.00","251.00","402.00","34925.00","34925.00","2.00","0","2156","20220330","37369.00","32481.00","42","0","2","2","2269"
"GetStockByNoLONG","2022/03/29 23:18:22.679695","OnNotifyQuote","2022/03/30 04:59:49.706285","00:03:40","UN2206","那斯達克2206","045805.289000","15220.00","1","216.00","1.44","15218.00","1","15220.00","1","15007.00","3.00","15267.00","-47.00","14993.00","227.00","274.00","15004.00","15004.00","3.00","0","4213","20220330","16054.00","13954.00","47","1","2","2","4563"
"GetStockByNoLONG","2022/03/29 23:18:22.680815","OnNotifyQuote","2022/03/30 04:59:57.581795","00:03:32","TX04","台指04","045957.736000","17692.00","2","146.00","0.83","17690.00","1","17691.00","1","17550.00","4.00","17715.00","-23.00","17540.00","152.00","175.00","17546.00","17545.00","5.00","0","58033","20220330","19300.00","15792.00","1","2","2","2","123541"
"GetStockByNoLONG","2022/03/29 23:18:22.682704","OnNotifyQuote","2022/03/30 04:59:57.581795","00:03:32","TX05","台指05","045721.359000","17656.00","1","136.00","0.78","17659.00","1","17663.00","1","17525.00","5.00","17682.00","-26.00","17514.00","142.00","168.00","17520.00","17520.00","5.00","0","703","20220330","19272.00","15768.00","2","3","2","2","1211"
"GetStockByNoLONG","2022/03/29 23:18:22.683774","OnNotifyQuote","2022/03/30 04:59:59.376838","00:03:30","MTX04","小台04","045959.988000","17690.00","1","144.00","0.82","17690.00","2","17692.00","9","17555.00","9.00","17714.00","-24.00","17540.00","150.00","174.00","17546.00","17544.00","11.00","0","120773","20220330","19300.00","15792.00","8","4","2","2","243862"
"GetStockByNoLONG","2022/03/29 23:18:22.685921","OnNotifyQuote","2022/03/30 04:59:59.081715","00:03:31","MTX05","小台05","045959.073000","17660.00","1","140.00","0.80","17659.00","1","17660.00","2","17523.00","3.00","17683.00","-23.00","17514.00","146.00","169.00","17520.00","17520.00","3.00","0","4655","20220330","19272.00","15768.00","9","5","2","2","7003"
