建立者,時間,更新者,更新時,經過,代碼,名稱,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"GetStockByNoLONG","2022/03/30 11:03:04.454754","OnNotifyQuote","2022/03/30 13:33:24.111154","00:14:46","TSEA","加權指","000000.000000","17740.56","17766","191.90","1.09","0.00","0","0.00","0","17572.90","24.24","17770.07","-29.51","17572.90","167.66","197.17","17548.66","17548.66","24.24","0","297314","20220330","19303.53","15793.79","30303","-1","0","2","253416"
"GetStockByNoLONG","2022/03/30 11:03:04.457317","OnNotifyQuote","2022/03/30 13:44:59.819617","00:03:11","0050","元大台灣50","000000.000000","138.55","64","1.70","1.24","138.55","51","138.60","268","138.05","1.20","138.70","-0.15","138.05","0.50","0.65","136.85","136.85","1.20","0","8073","20220330","150.50","123.20","0","-1","0","2","6436"
"GetStockByNoLONG","2022/03/30 11:03:04.458534","OnNotifyQuote","2022/03/30 13:45:00.020215","00:03:10","00632R","元大台灣50反1","000000.000000","5.19","3484","-0.05","-0.95","5.18","1811","5.19","11182","5.19","-0.05","5.20","-0.01","5.17","0.02","0.03","5.24","5.24","-0.05","0","158452","20220330","5.76","4.72","17","-1","0","2","49444"
"GetStockByNoLONG","2022/03/30 11:03:04.459419","OnNotifyQuote","2022/03/30 13:45:08.650471","00:03:02","2330","台積電","000000.000000","600.00","4295","11.00","1.87","599.00","267","600.00","826","599.00","10.00","600.00","0.00","597.00","3.00","3.00","589.00","589.00","10.00","0","41153","20220330","647.00","531.00","29460","-1","0","2","14864"
"GetStockByNoLONG","2022/03/30 11:03:04.459419","OnNotifyQuote","2022/03/30 13:44:00.245056","00:04:10","UD06","道瓊06","134357.542000","35158.00","1","233.00","0.67","35123.00","1","35175.00","2","34927.00","2.00","35277.00","-119.00","34875.00","283.00","402.00","34925.00","35126.00","-199.00","0","2355","20220330","37369.00","32481.00","44","0","2","2","324"
"GetStockByNoLONG","2022/03/30 11:03:04.461412","OnNotifyQuote","2022/03/30 13:44:39.621115","00:03:31","UN2206","那斯達克2206","134440.442000","15228.00","1","224.00","1.49","15208.00","3","15226.00","1","15007.00","3.00","15267.00","-39.00","14993.00","235.00","274.00","15004.00","15220.00","-213.00","0","5052","20220330","16054.00","13954.00","49","1","2","2","398"
"GetStockByNoLONG","2022/03/30 11:03:04.462100","OnNotifyQuote","2022/03/30 13:44:59.023109","00:03:11","TX04","台指04","134459.916000","17741.00","1","195.00","1.11","17739.00","5","17740.00","1","17550.00","4.00","17755.00","-14.00","17540.00","201.00","215.00","17546.00","17692.00","-142.00","0","147870","20220330","19300.00","15792.00","1","2","2","2","76385"
"GetStockByNoLONG","2022/03/30 11:03:04.463446","OnNotifyQuote","2022/03/30 13:44:58.995275","00:03:11","TX05","台指05","134454.891000","17708.00","1","188.00","1.07","17707.00","5","17710.00","2","17525.00","5.00","17723.00","-15.00","17514.00","194.00","209.00","17520.00","17656.00","-131.00","0","1543","20220330","19272.00","15768.00","2","3","2","2","712"
"GetStockByNoLONG","2022/03/30 11:03:04.463446","OnNotifyQuote","2022/03/30 13:44:58.876075","00:03:12","MTX04","小台04","134459.832000","17741.00","1","195.00","1.11","17739.00","1","17741.00","2","17555.00","9.00","17755.00","-14.00","17540.00","201.00","215.00","17546.00","17690.00","-135.00","0","275955","20220330","19300.00","15792.00","8","4","2","2","139515"
"GetStockByNoLONG","2022/03/30 11:03:04.465181","OnNotifyQuote","2022/03/30 13:44:58.872221","00:03:12","MTX05","小台05","134453.816000","17709.00","1","189.00","1.08","17708.00","5","17712.00","8","17523.00","3.00","17723.00","-14.00","17514.00","195.00","209.00","17520.00","17660.00","-137.00","0","10064","20220330","19272.00","15768.00","9","5","2","2","3639"
