更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,筆數,索引,Page,市場,小數位數,昨量
"m_SKQuoteLib_OnNotifyQuote","2024/08/06 05:10:45.971587","UN2409","那斯達克2409","000000","000000","000000.000000","18148.00","1","429.00","2.42","18119.00","1","18149.00","1","17637.00","-82.00","18300.00","-152.00","17381.00","767.00","919.00","17719.00","18526.00","-889.00","0","9755","20240806","18959.00","16479.00","0","5248","-1","2","2","2456"
"m_SKQuoteLib_OnNotifyQuote","2024/08/06 05:10:45.971587","TX09","台指09","000000","000000","000000.000000","20187.00","1","801.00","4.13","20178.00","1","20202.00","1","19393.00","7.00","20330.00","-143.00","18820.00","1367.00","1510.00","19386.00","21050.00","-1657.00","0","2096","20240806","21324.00","17448.00","0","5182","-1","2","2","3356"
"m_SKQuoteLib_OnNotifyQuote","2024/08/06 05:10:45.971587","MTX09","小台09","000000","000000","000000.000000","20188.00","1","802.00","4.14","20178.00","1","20199.00","1","19320.00","-66.00","20330.00","-142.00","18808.00","1380.00","1522.00","19386.00","21095.00","-1775.00","0","17457","20240806","21324.00","17448.00","0","5189","-1","2","2","18103"
"m_SKQuoteLib_OnNotifyQuote","2024/08/06 05:10:45.971587","UD09","道瓊09","000000","000000","000000.000000","38899.00","1","-643.00","-1.63","38889.00","4","39070.00","1","39350.00","-192.00","39396.00","-497.00","38555.00","344.00","841.00","39542.00","39843.00","-493.00","0","2698","20240806","42309.00","36775.00","0","5243","0","2","2","443"
"m_SKQuoteLib_OnNotifyQuote","2024/08/06 05:10:45.971587","TX08","台指08","000000","000000","000000.000000","20223.00","1","849.00","4.38","20221.00","1","20239.00","1","19374.00","0.00","20375.00","-152.00","18836.00","1387.00","1539.00","19374.00","21097.00","-1723.00","0","168593","20240806","21311.00","17437.00","0","5181","1","2","2","207012"
"m_SKQuoteLib_OnNotifyQuote","2024/08/06 05:10:45.971587","MTX08","小台08","000000","000000","000000.000000","20241.00","1","867.00","4.48","20226.00","1","20240.00","1","19374.00","0.00","20375.00","-134.00","18827.00","1414.00","1548.00","19374.00","21080.00","-1706.00","0","484537","20240806","21311.00","17437.00","0","5188","2","2","2","439748"
"m_SKQuoteLib_OnNotifyQuote","2024/08/06 05:10:45.971587","TXO22700H4","台選08C","000000","000000","000000.000000","59.00","1","-4.00","-6.35","53.00","1","61.00","1","63.00","0.00","76.00","-17.00","39.00","20.00","37.00","63.00","99.00","-36.00","0","682","20240806","2040.00","0.10","0","6532","-1","3","2","891"
"m_SKQuoteLib_OnNotifyQuote","2024/08/06 05:10:45.971587","TXO22900H4","台選08C","000000","000000","000000.000000","44.50","1","-9.50","-17.59","41.50","1","56.00","1","45.00","-9.00","57.00","-12.50","35.00","9.50","22.00","54.00","71.00","-26.00","0","86","20240806","2030.00","0.10","0","6536","-1","3","2","511"
"m_SKQuoteLib_OnNotifyQuote","2024/08/06 05:10:45.971587","TXO23100H4","台選08C","000000","000000","000000.000000","41.00","1","-4.50","-9.89","33.50","1","44.00","1","45.50","0.00","46.00","-5.00","23.50","17.50","22.50","45.50","58.00","-12.50","0","254","20240806","2020.00","0.10","0","6540","-1","3","2","556"
"m_SKQuoteLib_OnNotifyQuote","2024/08/06 05:10:45.987920","TXO23300H4","台選08C","000000","000000","000000.000000","38.00","1","-0.50","-1.30","25.00","2","50.00","10","30.00","-8.50","38.00","0.00","22.00","16.00","16.00","38.50","49.50","-19.50","0","178","20240806","2020.00","0.10","0","6544","-1","3","2","207"
"m_SKQuoteLib_OnNotifyQuote","2024/08/06 05:10:45.987920","TXO23500H4","台選08C","000000","000000","000000.000000","33.00","1","-2.50","-7.04","23.00","1","34.50","20","31.00","-4.50","38.00","-5.00","22.00","11.00","16.00","35.50","38.00","-7.00","0","777","20240806","2010.00","0.10","0","6548","-1","3","2","816"
"m_SKQuoteLib_OnNotifyQuote","2024/08/06 05:10:45.987920","TXO23700H4","台選08C","000000","000000","000000.000000","23.50","1","-9.00","-27.69","21.00","2","27.00","1","18.00","-14.50","30.00","-6.50","18.00","5.50","12.00","32.50","32.50","-14.50","0","332","20240806","2010.00","0.10","0","6552","-1","3","2","270"
"m_SKQuoteLib_OnNotifyQuote","2024/08/06 05:10:45.987920","TXO23900H4","台選08C","000000","000000","000000.000000","40.00","1","10.00","33.33","25.00","1","40.00","7","31.00","1.00","40.00","0.00","15.00","25.00","25.00","30.00","22.00","9.00","0","42","20240806","2010.00","0.10","0","6556","-1","3","2","306"
"m_SKQuoteLib_OnNotifyQuote","2024/08/06 05:10:45.971587","TXO22700T4","台選08P","000000","000000","000000.000000","3110.00","1","-280.00","-8.26","0.00","0","0.00","0","3300.00","-90.00","3300.00","-190.00","3000.00","110.00","300.00","3390.00","1650.00","1650.00","0","4","20240806","5370.00","1410.00","0","6531","-1","3","2","152"
"m_SKQuoteLib_OnNotifyQuote","2024/08/06 05:10:45.971587","TXO22900T4","台選08P","000000","000000","000000.000000","2950.00","1","-630.00","-17.60","0.00","0","0.00","0","3220.00","-360.00","3940.00","-990.00","2950.00","0.00","990.00","3580.00","1930.00","1290.00","0","6","20240806","5560.00","1600.00","0","6535","-1","3","2","64"
