建立者,時間,更新者,更新時,經過,代碼,名稱,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,最低價,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"GetStockByNoLONG","2022/03/24 12:25:46.721681","OnNotifyQuote","2022/03/24 13:33:14.873889","00:14:20","TSEA","加權指","000000.000000","17699.06","20460","-32.31","-0.18","0.00","0","0.00","0","17711.17","-20.20","17711.17","17603.22","17731.37","0.00","0.00","0","262668","20220324","19504.51","15958.23","30461","-1","0","2","284327"
"GetStockByNoLONG","2022/03/24 12:25:46.722873","OnNotifyQuote","2022/03/24 13:45:00.144138","00:02:35","0050","元大台灣50","000000.000000","138.00","134","-0.10","-0.07","137.95","7","138.00","20","137.50","-0.60","138.10","137.05","138.10","0.00","0.00","0","4241","20220324","151.90","124.30","0","-1","0","2","10253"
"GetStockByNoLONG","2022/03/24 12:25:46.724885","OnNotifyQuote","2022/03/24 13:45:00.343616","00:02:34","00632R","元大台灣50反1","000000.000000","5.20","2321","0.00","0.00","5.20","12020","5.21","14516","5.23","0.03","5.24","5.19","5.20","0.00","0.00","0","85653","20220324","5.72","4.68","17","-1","0","2","141556"
"GetStockByNoLONG","2022/03/24 12:25:46.726729","OnNotifyQuote","2022/03/24 13:45:08.973618","00:02:26","2330","台積電","000000.000000","591.00","4850","1.00","0.17","590.00","170","591.00","35","587.00","-3.00","592.00","585.00","590.00","0.00","0.00","0","19961","20220324","649.00","531.00","29619","-1","0","2","25844"
"GetStockByNoLONG","2022/03/24 12:25:46.726729","OnNotifyQuote","2022/03/24 13:44:58.219620","00:02:37","UD06","道瓊06","134458.952000","34350.00","1","-414.00","-1.19","34350.00","1","34385.00","1","34746.00","-18.00","34746.00","34215.00","34764.00","0.00","0.00","0","2019","20220324","37197.00","32331.00","42","0","2","2","483"
"GetStockByNoLONG","2022/03/24 12:25:46.728206","OnNotifyQuote","2022/03/24 13:44:48.969806","00:02:46","UN2206","那斯達克2206","134449.661000","14538.00","1","-128.00","-0.87","14531.00","2","14540.00","3","14651.00","-15.00","14679.00","14445.00","14666.00","0.00","0.00","0","4494","20220324","15692.00","13640.00","47","1","2","2","381"
"GetStockByNoLONG","2022/03/24 12:25:46.728873","OnNotifyQuote","2022/03/24 13:44:59.188942","00:02:36","TX04","台指04","134459.697000","17671.00","1","-28.00","-0.16","17669.00","35","17671.00","12","17692.00","-7.00","17700.00","17547.00","17699.00","0.00","0.00","0","131479","20220324","19468.00","15930.00","1","2","2","2","88756"
"GetStockByNoLONG","2022/03/24 12:25:46.730221","OnNotifyQuote","2022/03/24 13:44:59.193617","00:02:36","TX05","台指05","134445.002000","17640.00","1","-27.00","-0.15","17635.00","35","17640.00","12","17656.00","-11.00","17659.00","17516.00","17667.00","0.00","0.00","0","1055","20220324","19433.00","15901.00","2","3","2","2","791"
"GetStockByNoLONG","2022/03/24 12:25:46.730875","OnNotifyQuote","2022/03/24 13:44:59.190949","00:02:36","MTX04","小台04","134459.874000","17670.00","1","-29.00","-0.16","17670.00","2","17671.00","1","17699.00","0.00","17700.00","17547.00","17699.00","0.00","0.00","0","260005","20220324","19468.00","15930.00","8","4","2","2","144851"
"GetStockByNoLONG","2022/03/24 12:25:46.732213","OnNotifyQuote","2022/03/24 13:44:59.192650","00:02:36","MTX05","小台05","134459.235000","17637.00","1","-30.00","-0.17","17636.00","3","17640.00","3","17663.00","-4.00","17663.00","17518.00","17667.00","0.00","0.00","0","7636","20220324","19433.00","15901.00","9","5","2","2","4912"
