更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,筆數,索引,Page,市場,小數位數,昨量
"m_SKQuoteLib_OnNotifyQuote","2024/06/28 05:13:20.943108","UN2409","那斯達克2409","000000","000000","000000.000000","20078.00","2","108.00","0.54","20077.00","4","20080.00","9","19975.00","5.00","20122.00","-44.00","19950.00","128.00","172.00","19970.00","19959.00","16.00","0","3488","20240628","21367.00","18573.00","0","5018","-1","2","2","533"
"m_SKQuoteLib_OnNotifyQuote","2024/06/28 05:13:20.943108","TX08","台指08","000000","000000","000000.000000","22843.00","2","54.00","0.24","22844.00","1","22849.00","2","22836.00","47.00","22950.00","-107.00","22740.00","103.00","210.00","22789.00","22677.00","159.00","0","675","20240628","25067.00","20511.00","0","4959","-1","2","2","889"
"m_SKQuoteLib_OnNotifyQuote","2024/06/28 05:13:20.943108","MTX08","小台08","000000","000000","000000.000000","22841.00","2","52.00","0.23","22842.00","7","22849.00","1","22794.00","5.00","22953.00","-112.00","22741.00","100.00","212.00","22789.00","22672.00","122.00","0","7450","20240628","25067.00","20511.00","0","4966","-1","2","2","6799"
"m_SKQuoteLib_OnNotifyQuote","2024/06/28 05:13:20.943108","UD09","道瓊09","000000","000000","000000.000000","39544.00","1","49.00","0.12","39469.00","4","39567.00","1","39499.00","4.00","39653.00","-109.00","39430.00","114.00","223.00","39495.00","39500.00","-1.00","0","875","20240628","42259.00","36731.00","0","5013","0","2","2","51"
"m_SKQuoteLib_OnNotifyQuote","2024/06/28 05:13:20.943108","TX07","台指07","000000","000000","000000.000000","22858.00","1","61.00","0.27","22857.00","1","22858.00","2","22810.00","13.00","22967.00","-109.00","22751.00","107.00","216.00","22797.00","22685.00","125.00","0","72129","20240628","25076.00","20518.00","0","4958","1","2","2","83719"
"m_SKQuoteLib_OnNotifyQuote","2024/06/28 05:13:20.943108","MTX07","小台07","000000","000000","000000.000000","22856.00","1","59.00","0.26","22856.00","6","22860.00","3","22810.00","13.00","22968.00","-112.00","22751.00","105.00","217.00","22797.00","22692.00","118.00","0","170211","20240628","25076.00","20518.00","0","4965","2","2","2","165466"
"m_SKQuoteLib_OnNotifyQuote","2024/06/28 05:13:20.943108","TXO22300G4","台選07C","000000","000000","000000.000000","755.00","1","30.00","4.14","660.00","2","835.00","1","735.00","10.00","845.00","-90.00","715.00","40.00","130.00","725.00","685.00","50.00","0","20","20240628","3010.00","0.10","0","6039","-1","3","2","33"
"m_SKQuoteLib_OnNotifyQuote","2024/06/28 05:13:20.943108","TXO22500G4","台選07C","000000","000000","000000.000000","615.00","1","15.00","2.50","615.00","1","660.00","4","610.00","10.00","700.00","-85.00","575.00","40.00","125.00","600.00","555.00","55.00","0","97","20240628","2890.00","0.10","0","6043","-1","3","2","102"
"m_SKQuoteLib_OnNotifyQuote","2024/06/28 05:13:20.943108","TXO22700G4","台選07C","000000","000000","000000.000000","515.00","1","31.00","6.40","448.00","2","565.00","2","500.00","16.00","560.00","-45.00","458.00","57.00","102.00","484.00","421.00","79.00","0","131","20240628","2770.00","0.10","0","6047","-1","3","2","818"
"m_SKQuoteLib_OnNotifyQuote","2024/06/28 05:13:20.943108","TXO22900G4","台選07C","000000","000000","000000.000000","374.00","1","1.00","0.27","366.00","7","405.00","6","379.00","6.00","454.00","-80.00","353.00","21.00","101.00","373.00","348.00","31.00","0","354","20240628","2660.00","0.10","0","6051","-1","3","2","360"
