更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,筆數,索引,Page,市場,小數位數,昨量
"m_SKQuoteLib_OnNotifyQuote","2022/09/29 13:33:13.568180","TSEA","加權指","000000","000000","000000.000000","13534.26","12965","68.19","0.51","0.00","0","0.00","0","13550.70","84.63","13651.29","-117.03","13462.57","71.69","188.72","13466.07","13466.07","84.63","0","213148","20220929","14812.68","12119.46","0","26403","-1","0","2","225237"
"m_SKQuoteLib_OnNotifyQuote","2022/09/29 13:44:59.415991","0050","元大台灣50","000000","000000","000000.000000","104.90","293","-0.35","-0.33","104.85","31","104.90","58","106.45","1.20","106.45","-1.55","104.60","0.30","1.85","105.25","105.25","1.20","0","10297","20220929","115.75","94.75","0","0","-1","0","2","18876"
"m_SKQuoteLib_OnNotifyQuote","2022/09/29 13:44:59.616952","00632R","元大台灣50反1","000000","000000","000000.000000","6.32","4099","-0.02","-0.32","6.32","2007","6.33","22893","6.25","-0.09","6.35","-0.03","6.25","0.07","0.10","6.34","6.34","-0.09","0","237956","20220929","6.97","5.71","0","16","-1","0","2","293177"
"m_SKQuoteLib_OnNotifyQuote","2022/09/29 13:44:55.435926","UN2212","那斯達克2212","000000","000000","000000.000000","11499.00","1","253.00","2.25","11491.00","1","11500.00","4","11550.00","304.00","11555.00","-56.00","11493.00","6.00","62.00","11246.00","11555.00","-5.00","0","6488","20220929","12033.00","10459.00","0","4373","-1","2","2","913"
"m_SKQuoteLib_OnNotifyQuote","2022/09/29 13:44:58.556798","TX11","台指11","000000","000000","000000.000000","13509.00","1","5.00","0.04","13508.00","5","13511.00","1","13634.00","130.00","13656.00","-147.00","13466.00","43.00","190.00","13504.00","13655.00","-21.00","0","1800","20220929","14854.00","12154.00","0","4321","-1","2","2","1200"
"m_SKQuoteLib_OnNotifyQuote","2022/09/29 13:44:58.180731","MTX11","小台11","000000","000000","000000.000000","13510.00","1","6.00","0.04","13510.00","1","13515.00","5","13647.00","143.00","13657.00","-147.00","13459.00","51.00","198.00","13504.00","13658.00","-11.00","0","14387","20220929","14854.00","12154.00","0","4328","-1","2","2","7460"
"m_SKQuoteLib_OnNotifyQuote","2022/09/29 13:45:08.247705","2330","台積電","133000","000000","133000.000000","435.00","4473","-3.00","-0.68","434.50","142","435.00","689","443.00","5.00","443.50","-8.50","432.00","3.00","11.50","438.00","438.00","5.00","0","40895","20220929","481.50","394.50","8833","25557","0","0","2","34310"
"m_SKQuoteLib_OnNotifyQuote","2022/09/29 13:44:58.055664","UD12","道瓊12","134400","590000","134400.590000","29663.00","1","578.00","1.99","29648.00","1","29701.00","1","29751.00","666.00","29782.00","-119.00","29660.00","3.00","122.00","29085.00","29750.00","1.00","0","5104","20220929","31120.00","27050.00","3916","4368","1","2","2","860"
"m_SKQuoteLib_OnNotifyQuote","2022/09/29 13:44:58.553797","TX10","台指10","134459","923000","134459.923000","13524.00","2","9.00","0.07","13523.00","5","13524.00","1","13658.00","143.00","13672.00","-148.00","13471.00","53.00","201.00","13515.00","13670.00","-12.00","0","213307","20220929","14866.00","12164.00","101478","4320","2","2","2","144367"
"m_SKQuoteLib_OnNotifyQuote","2022/09/29 13:44:58.446773","MTX10","小台10","134459","834000","134459.834000","13524.00","1","9.00","0.07","13524.00","2","13527.00","7","13653.00","138.00","13672.00","-148.00","13471.00","53.00","201.00","13515.00","13671.00","-18.00","0","383826","20220929","14866.00","12164.00","207669","4327","3","2","2","235560"
"m_SKQuoteLib_OnNotifyQuote","2022/09/29 13:44:57.938876","TXO14100J2","台選10C","000000","000000","000000.000000","62.00","10","-14.00","-18.42","62.00","26","66.00","1","89.00","13.00","94.00","-32.00","60.00","2.00","34.00","76.00","89.00","0.00","0","5277","20220929","1420.00","0.10","0","4992","-1","3","2","4488"
"m_SKQuoteLib_OnNotifyQuote","2022/09/29 13:44:53.541965","TXO14200J2","台選10C","000000","000000","000000.000000","46.00","1","-6.00","-11.54","45.50","6","48.00","1","68.00","16.00","70.00","-24.00","42.50","3.50","27.50","52.00","68.00","0.00","0","5448","20220929","1390.00","0.10","0","4994","-1","3","2","5271"
