建立者,時間,更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,筆數,索引,Page,市場,小數位數,昨量
"CreateOrUpdate","2022/07/05 14:54:16.859062","m_SKQuoteLib_OnNotifyQuote","2022/07/05 14:54:16.935080","TSEA","加權指","000000","000000","000000.000000","14349.20","445","132.14","0.93","0.00","0","0.00","0","14345.54","128.48","14488.80","-139.60","14100.89","248.31","387.91","14217.06","14217.06","128.48","0","257703","20220705","15638.77","12795.35","0","29773","-1","0","2","232305"
"CreateOrUpdate","2022/07/05 14:54:16.861062","m_SKQuoteLib_OnNotifyQuote","2022/07/05 14:54:16.934084","0050","元大台灣50","000000","000000","000000.000000","111.00","6","0.55","0.50","111.00","79","111.05","6","112.55","2.10","112.95","-1.95","109.00","2.00","3.95","110.45","110.45","2.10","0","16196","20220705","121.45","99.45","0","0","-1","0","2","26411"
"CreateOrUpdate","2022/07/05 14:54:16.862062","m_SKQuoteLib_OnNotifyQuote","2022/07/05 14:54:16.919066","00632R","元大台灣50反1","000000","000000","000000.000000","6.17","129","-0.06","-0.96","6.17","481","6.18","13094","6.10","-0.13","6.28","-0.11","6.08","0.09","0.20","6.23","6.23","-0.13","0","348265","20220705","6.85","5.61","0","16","-1","0","2","393362"
"CreateOrUpdate","2022/07/05 14:54:16.862062","m_SKQuoteLib_OnNotifyQuote","2022/07/06 04:59:53.374231","UN2209","那斯達克2209","000000","000000","000000.000000","11798.00","1","125.00","1.07","11798.00","2","11815.00","1","11698.00","25.00","11811.00","-13.00","11390.00","408.00","421.00","11673.00","11674.00","24.00","0","4058","20220706","12343.00","10729.00","0","4366","-1","2","2","1166"
"CreateOrUpdate","2022/07/05 14:54:16.863063","m_SKQuoteLib_OnNotifyQuote","2022/07/06 04:59:59.378531","TX08","台指08","000000","000000","000000.000000","14110.00","1","39.00","0.28","14097.00","4","14104.00","1","14068.00","-3.00","14110.00","0.00","13819.00","291.00","291.00","14071.00","14085.00","-17.00","0","922","20220706","15397.00","12599.00","0","4314","-1","2","2","1704"
"CreateOrUpdate","2022/07/05 14:54:16.864168","m_SKQuoteLib_OnNotifyQuote","2022/07/06 04:59:59.422795","MTX08","小台08","000000","000000","000000.000000","14098.00","1","27.00","0.19","14098.00","5","14106.00","1","14078.00","7.00","14111.00","-13.00","13815.00","283.00","296.00","14071.00","14074.00","4.00","0","6205","20220706","15397.00","12599.00","0","4321","-1","2","2","11936"
"CreateOrUpdate","2022/07/05 14:54:16.871066","m_SKQuoteLib_OnNotifyQuote","2022/07/05 14:54:16.934084","2330","台積電","000000","000000","000000.000000","446.00","114","6.00","1.36","445.50","9","446.00","161","449.50","9.50","451.50","-5.50","433.00","13.00","18.50","440.00","440.00","9.50","0","50035","20220705","484.00","396.00","0","28923","-1","0","2","52299"
"CreateOrUpdate","2022/07/05 14:54:16.871066","m_SKQuoteLib_OnNotifyQuote","2022/07/06 04:59:01.405305","UD09","道瓊09","045901","961000","045901.961000","30888.00","1","-265.00","-0.85","30888.00","1","30934.00","1","31167.00","14.00","31167.00","-279.00","30334.00","554.00","833.00","31153.00","31153.00","14.00","0","3624","20220706","33114.00","28782.00","2938","4361","0","2","2","1060"
"CreateOrUpdate","2022/07/05 14:54:16.871066","m_SKQuoteLib_OnNotifyQuote","2022/07/06 04:59:59.403698","TX07","台指07","050000","020000","050000.020000","14252.00","1","43.00","0.30","14250.00","4","14253.00","1","14227.00","18.00","14265.00","-13.00","13960.00","292.00","305.00","14209.00","14231.00","-4.00","0","86925","20220706","15567.00","12737.00","46424","4313","1","2","2","203792"
"CreateOrUpdate","2022/07/05 14:54:16.872067","m_SKQuoteLib_OnNotifyQuote","2022/07/06 04:59:59.376797","MTX07","小台07","045959","762000","045959.762000","14257.00","1","48.00","0.34","14252.00","3","14257.00","1","14222.00","13.00","14264.00","-7.00","13961.00","296.00","303.00","14209.00","14227.00","-5.00","0","188371","20220706","15567.00","12737.00","105128","4320","2","2","2","362283"
