建立者,時間,更新者,更新時,經過,代碼,名稱,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"CreateQuote","2022/04/01 16:55:17.554227","UpdateQuote","2022/04/01 16:55:17.752445","12:08:07","TSEA","加權指","000000.000000","17625.59","722","-67.88","-0.38","0.00","0","0.00","0","17657.76","-35.71","17657.76","-32.17","17465.61","159.98","192.15","17693.47","17693.47","-35.71","0","229376","20220401","19462.82","15924.12","29857","-1","0","2","227659"
"CreateQuote","2022/04/01 16:55:17.554973","UpdateQuote","2022/04/01 16:55:17.742441","12:08:07","0050","元大台灣50","000000.000000","136.95","3","-1.15","-0.83","136.90","6","136.95","55","136.60","-1.50","136.95","0.00","136.15","0.80","0.80","138.10","138.10","-1.50","0","7683","20220401","151.90","124.30","0","-1","0","2","3550"
"CreateQuote","2022/04/01 16:55:17.554973","UpdateQuote","2022/04/01 16:55:17.747443","12:08:07","00632R","元大台灣50反1","000000.000000","5.23","184","0.02","0.38","5.23","11444","5.24","18710","5.26","0.05","5.27","-0.04","5.23","0.00","0.04","5.21","5.21","0.05","0","95515","20220401","5.73","4.69","17","-1","0","2","77248"
"CreateQuote","2022/04/01 16:55:17.555975","UpdateQuote","2022/04/01 16:55:17.749443","12:08:07","2330","台積電","000000.000000","589.00","114","-8.00","-1.34","588.00","48","589.00","598","585.00","-12.00","589.00","0.00","584.00","5.00","5.00","597.00","597.00","-12.00","0","29679","20220401","656.00","538.00","29013","-1","0","2","22661"
"CreateQuote","2022/04/01 16:55:17.555975","UpdateQuote","2022/04/02 04:59:46.366180","00:03:38","UD06","道瓊06","043540.672000","34680.00","1","-32.00","-0.09","34640.00","1","34680.00","2","34717.00","5.00","34814.00","-134.00","34444.00","236.00","370.00","34712.00","34710.00","7.00","0","1618","20220406","37591.00","32673.00","4211","0","2","2","1425"
"CreateQuote","2022/04/01 16:55:17.556975","UpdateQuote","2022/04/02 04:59:57.740838","00:03:27","UN2206","那斯達克2206","045946.572000","14860.00","1","-51.00","-0.34","14847.00","2","14866.00","1","14945.00","34.00","14960.00","-100.00","14729.00","131.00","231.00","14911.00","14898.00","47.00","0","3465","20220406","16180.00","14064.00","4216","1","2","2","3974"
"CreateQuote","2022/04/01 16:55:17.556975","UpdateQuote","2022/04/02 04:59:57.491358","00:03:27","TX04","台指04","045957.453000","17520.00","1","-37.00","-0.21","17518.00","2","17519.00","1","17568.00","11.00","17624.00","-104.00","17457.00","63.00","167.00","17557.00","17457.00","111.00","0","51329","20220406","19397.00","15871.00","4170","2","2","2","136526"
"CreateQuote","2022/04/01 16:55:17.557975","UpdateQuote","2022/04/02 04:59:57.491358","00:03:27","TX05","台指05","045735.912000","17496.00","1","-31.00","-0.18","17490.00","2","17494.00","1","17542.00","15.00","17597.00","-101.00","17432.00","64.00","165.00","17527.00","17431.00","111.00","0","446","20220406","19365.00","15845.00","4171","3","2","2","1244"
"CreateQuote","2022/04/01 16:55:17.557975","UpdateQuote","2022/04/02 04:59:57.991040","00:03:26","MTX04","小台04","045959.575000","17515.00","1","-42.00","-0.24","17510.00","13","17518.00","2","17571.00","14.00","17624.00","-109.00","17458.00","57.00","166.00","17557.00","17458.00","113.00","0","115027","20220406","19397.00","15871.00","4177","4","2","2","265466"
"CreateQuote","2022/04/01 16:55:17.557975","UpdateQuote","2022/04/02 04:59:57.991040","00:03:26","MTX05","小台05","045958.937000","17484.00","1","-43.00","-0.25","17484.00","1","17494.00","2","17535.00","8.00","17595.00","-111.00","17433.00","51.00","162.00","17527.00","17430.00","105.00","0","3810","20220406","19365.00","15845.00","4178","5","2","2","7788"
