建立者,時間,更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,筆數,索引,Page,市場,小數位數,昨量
"CreateOrUpdate","2022/06/01 14:55:15.276463","m_SKQuoteLib_OnNotifyQuote","2022/06/01 14:55:15.303567","TSEA","加權指","000000","000000","000000.000000","16675.09","566","-132.68","-0.79","0.00","0","0.00","0","16718.91","-88.86","16811.04","-135.95","16649.91","25.18","161.13","16807.77","16807.77","-88.86","0","253419","20220601","18488.55","15126.99","0","30512","-1","0","2","388228"
"CreateOrUpdate","2022/06/01 14:55:15.278682","m_SKQuoteLib_OnNotifyQuote","2022/06/01 14:55:15.307569","0050","元大台灣50","000000","000000","000000.000000","129.15","17","-0.65","-0.50","129.10","37","129.15","27","129.30","-0.50","130.05","-0.90","129.00","0.15","1.05","129.80","129.80","-0.50","0","6377","20220601","142.75","116.85","0","0","-1","0","2","7005"
"CreateOrUpdate","2022/06/01 14:55:15.278682","m_SKQuoteLib_OnNotifyQuote","2022/06/01 14:55:15.307569","00632R","元大台灣50反1","000000","000000","000000.000000","5.45","115","0.00","0.00","5.45","20851","5.46","1271","5.46","0.01","5.47","-0.02","5.42","0.03","0.05","5.45","5.45","0.01","0","153758","20220601","5.99","4.91","0","16","-1","0","2","140361"
"CreateOrUpdate","2022/06/01 14:55:15.279508","m_SKQuoteLib_OnNotifyQuote","2022/06/02 04:59:40.286989","UN2206","那斯達克2206","000000","000000","000000.000000","12559.00","1","-86.00","-0.68","12522.00","1","12558.00","1","12676.00","31.00","12821.00","-262.00","12459.00","100.00","362.00","12645.00","12645.00","31.00","0","5923","20220602","13645.00","11861.00","0","4299","-1","2","2","6611"
"CreateOrUpdate","2022/06/01 14:55:15.280520","m_SKQuoteLib_OnNotifyQuote","2022/06/02 04:59:58.541771","TX07","台指07","000000","000000","000000.000000","16117.00","1","-78.00","-0.48","16116.00","1","16130.00","1","16208.00","13.00","16241.00","-124.00","16060.00","57.00","181.00","16195.00","16197.00","11.00","0","680","20220602","17914.00","14658.00","0","4252","-1","2","2","1678"
"CreateOrUpdate","2022/06/01 14:55:15.280520","m_SKQuoteLib_OnNotifyQuote","2022/06/02 04:59:58.411296","MTX07","小台07","000000","000000","000000.000000","16121.00","1","-74.00","-0.46","16123.00","3","16133.00","1","16207.00","12.00","16243.00","-122.00","16061.00","60.00","182.00","16195.00","16192.00","15.00","0","4508","20220602","17914.00","14658.00","0","4259","-1","2","2","10484"
"CreateOrUpdate","2022/06/01 14:55:15.285531","m_SKQuoteLib_OnNotifyQuote","2022/06/01 14:55:15.303567","2330","台積電","000000","000000","000000.000000","549.00","58","-11.00","-1.96","549.00","98","550.00","445","550.00","-10.00","555.00","-6.00","548.00","1.00","7.00","560.00","560.00","-10.00","0","29105","20220601","616.00","504.00","0","29665","-1","0","2","72070"
"CreateOrUpdate","2022/06/01 14:55:15.285531","m_SKQuoteLib_OnNotifyQuote","2022/06/02 04:59:27.663667","UD06","道瓊06","045316","279000","045316.279000","32785.00","1","-277.00","-0.84","32765.00","1","32809.00","1","33159.00","97.00","33253.00","-468.00","32570.00","215.00","683.00","33062.00","33062.00","97.00","0","3375","20220602","35526.00","30878.00","2726","4294","0","2","2","3577"
"CreateOrUpdate","2022/06/01 14:55:15.285531","m_SKQuoteLib_OnNotifyQuote","2022/06/02 04:59:58.541771","TX06","台指06","045959","399000","045959.399000","16530.00","1","-78.00","-0.47","16530.00","5","16536.00","10","16623.00","15.00","16668.00","-138.00","16465.00","65.00","203.00","16608.00","16610.00","13.00","0","71544","20220602","18349.00","15013.00","36442","4251","1","2","2","162169"
"CreateOrUpdate","2022/06/01 14:55:15.286533","m_SKQuoteLib_OnNotifyQuote","2022/06/02 04:59:59.137314","MTX06","小台06","045959","344000","045959.344000","16535.00","1","-73.00","-0.44","16535.00","3","16545.00","16","16621.00","13.00","16668.00","-133.00","16465.00","70.00","203.00","16608.00","16607.00","14.00","0","157635","20220602","18349.00","15013.00","87077","4258","2","2","2","299454"
"CreateOrUpdate","2022/06/01 14:55:15.280520","m_SKQuoteLib_OnNotifyQuote","2022/06/02 04:58:32.783722","TX215900F2","台選W206C","000000","000000","000000.000000","775.00","1","35.00","4.73","510.00","9","740.00","9","770.00","30.00","775.00","0.00","770.00","5.00","5.00","740.00","0.00","0.00","0","2","20220602","2480.00","0.10","0","7341","-1","3","2","0"
"CreateOrUpdate","2022/06/01 14:55:15.281520","m_SKQuoteLib_OnNotifyQuote","2022/06/02 04:59:03.679568","TX216000F2","台選W206C","000000","000000","000000.000000","530.00","1","-115.00","-17.83","530.00","1","0.00","0","650.00","5.00","650.00","-120.00","530.00","0.00","120.00","645.00","0.00","0.00","0","9","20220602","2380.00","0.10","0","7343","-1","3","2","4"
"CreateOrUpdate","2022/06/01 14:55:15.281520","m_SKQuoteLib_OnNotifyQuote","2022/06/02 04:59:03.679568","TX216100F2","台選W206C","000000","000000","000000.000000","450.00","5","-105.00","-18.92","320.00","1","500.00","4","590.00","35.00","590.00","-140.00","450.00","0.00","140.00","555.00","0.00","0.00","0","16","20220602","2290.00","0.10","0","7345","-1","3","2","4"
"CreateOrUpdate","2022/06/01 14:55:15.281520","m_SKQuoteLib_OnNotifyQuote","2022/06/02 04:59:00.656009","TX216200F2","台選W206C","000000","000000","000000.000000","390.00","1","-75.00","-16.13","313.00","15","452.00","14","450.00","-15.00","488.00","-98.00","366.00","24.00","122.00","465.00","0.00","0.00","0","21","20220602","2190.00","0.10","0","7347","-1","3","2","4"
"CreateOrUpdate","2022/06/01 14:55:15.282521","m_SKQuoteLib_OnNotifyQuote","2022/06/02 04:58:31.413159","TX216300F2","台選W206C","000000","000000","000000.000000","352.00","2","-25.00","-6.63","263.00","15","362.00","16","400.00","23.00","425.00","-73.00","287.00","65.00","138.00","377.00","0.00","0.00","0","164","20220602","2110.00","0.10","0","7349","-1","3","2","27"
"CreateOrUpdate","2022/06/01 14:55:15.282521","m_SKQuoteLib_OnNotifyQuote","2022/06/02 04:58:32.173120","TX216400F2","台選W206C","000000","000000","000000.000000","267.00","1","-36.00","-11.88","221.00","15","263.00","15","310.00","7.00","336.00","-69.00","213.00","54.00","123.00","303.00","0.00","0.00","0","251","20220602","2020.00","0.10","0","7353","-1","3","2","92"
"CreateOrUpdate","2022/06/01 14:55:15.282521","m_SKQuoteLib_OnNotifyQuote","2022/06/02 04:59:53.792443","TX216500F2","台選W206C","000000","000000","000000.000000","183.00","1","-44.00","-19.38","170.00","1","197.00","1","242.00","15.00","266.00","-83.00","156.00","27.00","110.00","227.00","0.00","0.00","0","1157","20220602","1950.00","0.10","0","7357","-1","3","2","226"
"CreateOrUpdate","2022/06/01 14:55:15.283521","m_SKQuoteLib_OnNotifyQuote","2022/06/02 04:59:56.441989","TX215900R2","台選W206P","000000","000000","000000.000000","14.50","1","3.50","31.82","12.00","1","15.00","5","11.00","0.00","18.50","-4.00","9.00","5.50","9.50","11.00","0.00","0.00","0","4428","20220602","1680.00","0.10","0","7340","-1","3","2","3868"
"CreateOrUpdate","2022/06/01 14:55:15.283521","m_SKQuoteLib_OnNotifyQuote","2022/06/02 04:59:56.441989","TX216000R2","台選W206P","000000","000000","000000.000000","22.00","1","4.50","25.71","21.50","2","22.50","2","15.50","-2.00","27.00","-5.00","13.50","8.50","13.50","17.50","0.00","0.00","0","8148","20220602","1690.00","0.10","0","7342","-1","3","2","2886"
"CreateOrUpdate","2022/06/01 14:55:15.283521","m_SKQuoteLib_OnNotifyQuote","2022/06/02 04:59:57.291753","TX216100R2","台選W206P","000000","000000","000000.000000","34.00","2","8.00","30.77","33.50","7","34.50","10","22.00","-4.00","41.00","-7.00","20.00","14.00","21.00","26.00","0.00","0.00","0","5872","20220602","1690.00","0.10","0","7344","-1","3","2","2705"
"CreateOrUpdate","2022/06/01 14:55:15.283521","m_SKQuoteLib_OnNotifyQuote","2022/06/02 04:59:54.029953","TX216200R2","台選W206P","000000","000000","000000.000000","48.00","2","11.00","29.73","46.00","12","47.50","2","35.00","-2.00","60.00","-12.00","30.00","18.00","30.00","37.00","0.00","0.00","0","7726","20220602","1700.00","0.10","0","7346","-1","3","2","4213"
"CreateOrUpdate","2022/06/01 14:55:15.284521","m_SKQuoteLib_OnNotifyQuote","2022/06/02 04:59:25.030130","TX216300R2","台選W206P","000000","000000","000000.000000","70.00","1","18.00","34.62","67.00","1","72.00","2","50.00","-2.00","85.00","-15.00","41.00","29.00","44.00","52.00","0.00","0.00","0","9163","20220602","1710.00","0.10","0","7348","-1","3","2","5940"
