更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,筆數,索引,Page,市場,小數位數,昨量
"m_SKQuoteLib_OnNotifyQuote","2023/12/05 05:39:54.531390","UN2312","那斯達克2312","000000","000000","000000.000000","15889.00","1","-86.00","-0.54","15873.00","1","15889.00","1","15975.00","0.00","16004.00","-115.00","15731.00","158.00","273.00","15975.00","16029.00","-54.00","0","2468","20231205","17093.00","14857.00","0","4867","-1","2","2","2458"
"m_SKQuoteLib_OnNotifyQuote","2023/12/05 05:39:54.531390","TX03","台指03","000000","000000","000000.000000","17286.00","1","-131.00","-0.75","17323.00","1","17329.00","1","17410.00","-7.00","17420.00","-134.00","17270.00","16.00","150.00","17417.00","17490.00","-80.00","0","71","20231205","19158.00","15676.00","0","4815","-1","2","2","93"
"m_SKQuoteLib_OnNotifyQuote","2023/12/05 05:39:54.540392","MTX03","小台03","000000","000000","000000.000000","17332.00","1","-85.00","-0.49","17317.00","1","17329.00","14","17406.00","-11.00","17415.00","-83.00","17266.00","66.00","149.00","17417.00","17489.00","-83.00","0","308","20231205","19158.00","15676.00","0","4822","-1","2","2","580"
"m_SKQuoteLib_OnNotifyQuote","2023/12/05 05:39:54.540392","UD12","道瓊12","000000","000000","000000.000000","36260.00","1","-10.00","-0.03","36237.00","3","36276.00","3","36258.00","-12.00","36270.00","-10.00","36077.00","183.00","193.00","36270.00","36305.00","-47.00","0","722","20231205","38808.00","33732.00","0","4862","0","2","2","1190"
"m_SKQuoteLib_OnNotifyQuote","2023/12/05 05:39:54.540392","TX12","台指12","000000","000000","000000.000000","17319.00","1","-99.00","-0.57","17319.00","1","17321.00","1","17405.00","-13.00","17417.00","-98.00","17257.00","62.00","160.00","17418.00","17493.00","-88.00","0","46931","20231205","19159.00","15677.00","0","4812","1","2","2","126427"
"m_SKQuoteLib_OnNotifyQuote","2023/12/05 05:39:54.540392","MTX12","小台12","000000","000000","000000.000000","17313.00","1","-105.00","-0.60","17312.00","3","17320.00","14","17406.00","-12.00","17417.00","-104.00","17257.00","56.00","160.00","17418.00","17496.00","-90.00","0","93201","20231205","19159.00","15677.00","0","4819","2","2","2","220453"
"m_SKQuoteLib_OnNotifyQuote","2023/12/05 05:39:54.540392","TXO16500L3","台選12C","000000","000000","000000.000000","870.00","1","-55.00","-5.95","720.00","11","860.00","10","870.00","-55.00","870.00","0.00","870.00","0.00","0.00","925.00","905.00","-35.00","0","1","20231205","2660.00","0.10","0","75","-1","3","2","90"
"m_SKQuoteLib_OnNotifyQuote","2023/12/05 05:39:54.540392","TXO16700L3","台選12C","000000","000000","000000.000000","590.00","10","-135.00","-18.62","550.00","20","670.00","10","695.00","-30.00","695.00","-105.00","590.00","0.00","105.00","725.00","815.00","-120.00","0","20","20231205","2460.00","0.10","0","79","-1","3","2","104"
"m_SKQuoteLib_OnNotifyQuote","2023/12/05 05:39:54.550394","TXO16900L3","台選12C","000000","000000","000000.000000","436.00","1","-124.00","-22.14","413.00","1","625.00","10","535.00","-25.00","545.00","-109.00","430.00","6.00","115.00","560.00","610.00","-75.00","0","199","20231205","2300.00","0.10","0","83","-1","3","2","714"
"m_SKQuoteLib_OnNotifyQuote","2023/12/05 05:39:54.550394","TXO17100L3","台選12C","000000","000000","000000.000000","312.00","1","-70.00","-18.32","271.00","2","330.00","1","370.00","-12.00","372.00","-60.00","275.00","37.00","97.00","382.00","438.00","-68.00","0","178","20231205","2120.00","0.10","0","87","-1","3","2","240"
