更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,筆數,索引,Page,市場,小數位數,昨量
"m_SKQuoteLib_OnNotifyQuote","2023/05/03 05:26:38.470455","UN2306","那斯達克2306","000000","000000","000000.000000","13177.00","1","-135.00","-1.01","13174.00","4","13177.00","1","13327.00","15.00","13337.00","-160.00","13125.00","52.00","212.00","13312.00","13326.00","1.00","0","2379","20230503","14243.00","12381.00","0","4489","-1","2","2","2621"
"m_SKQuoteLib_OnNotifyQuote","2023/05/03 05:26:38.470455","TX06","台指06","000000","000000","000000.000000","15448.00","1","-90.00","-0.58","15445.00","1","15451.00","1","15545.00","7.00","15555.00","-107.00","15410.00","38.00","145.00","15538.00","15533.00","12.00","0","605","20230503","17091.00","13985.00","0","4435","-1","2","2","1496"
"m_SKQuoteLib_OnNotifyQuote","2023/05/03 05:26:38.470455","MTX06","小台06","000000","000000","000000.000000","15449.00","1","-89.00","-0.57","15445.00","1","15451.00","3","15552.00","14.00","15557.00","-108.00","15409.00","40.00","148.00","15538.00","15530.00","22.00","0","3692","20230503","17091.00","13985.00","0","4442","-1","2","2","8071"
"m_SKQuoteLib_OnNotifyQuote","2023/05/03 05:26:38.470455","UD06","道瓊06","000000","000000","000000.000000","33722.00","1","-375.00","-1.10","33707.00","1","33720.00","2","34098.00","1.00","34132.00","-410.00","33510.00","212.00","622.00","34097.00","34148.00","-50.00","0","3724","20230503","36483.00","31711.00","0","4484","0","2","2","3019"
"m_SKQuoteLib_OnNotifyQuote","2023/05/03 05:26:38.470455","TX05","台指05","000000","000000","000000.000000","15542.00","1","-93.00","-0.59","15543.00","1","15546.00","1","15651.00","16.00","15655.00","-113.00","15504.00","38.00","151.00","15635.00","15624.00","27.00","0","42857","20230503","17198.00","14072.00","0","4434","1","2","2","116585"
"m_SKQuoteLib_OnNotifyQuote","2023/05/03 05:26:38.470455","MTX05","小台05","000000","000000","000000.000000","15542.00","1","-93.00","-0.59","15543.00","1","15548.00","16","15650.00","15.00","15654.00","-112.00","15504.00","38.00","150.00","15635.00","15620.00","30.00","0","84166","20230503","17198.00","14072.00","0","4441","2","2","2","204815"
"m_SKQuoteLib_OnNotifyQuote","2023/05/03 05:26:38.470455","TXO15100E3","台選05C","000000","000000","000000.000000","476.00","1","-94.00","-16.49","200.00","1","550.00","1","570.00","0.00","575.00","-99.00","472.00","4.00","103.00","570.00","545.00","25.00","0","34","20230503","2130.00","0.10","0","5093","-1","3","2","48"
"m_SKQuoteLib_OnNotifyQuote","2023/05/03 05:26:38.470455","TXO15300E3","台選05C","000000","000000","000000.000000","335.00","2","-59.00","-14.97","322.00","1","404.00","1","404.00","10.00","404.00","-69.00","311.00","24.00","93.00","394.00","395.00","9.00","0","209","20230503","1950.00","0.10","0","5097","-1","3","2","1155"
"m_SKQuoteLib_OnNotifyQuote","2023/05/03 05:26:38.470455","TXO15500E3","台選05C","000000","000000","000000.000000","203.00","1","-44.00","-17.81","186.00","1","208.00","2","256.00","9.00","256.00","-53.00","179.00","24.00","77.00","247.00","228.00","28.00","0","604","20230503","1810.00","0.10","0","5101","-1","3","2","1321"
"m_SKQuoteLib_OnNotifyQuote","2023/05/03 05:26:38.470455","TXO15700E3","台選05C","000000","000000","000000.000000","100.00","2","-31.00","-23.66","92.00","2","100.00","3","144.00","13.00","145.00","-45.00","90.00","10.00","55.00","131.00","129.00","15.00","0","1326","20230503","1690.00","0.10","0","5105","-1","3","2","3481"
"m_SKQuoteLib_OnNotifyQuote","2023/05/03 05:26:38.470455","TXO15900E3","台選05C","000000","000000","000000.000000","41.50","1","-15.50","-27.19","40.00","6","41.50","10","58.00","1.00","61.00","-19.50","35.50","6.00","25.50","57.00","56.00","2.00","0","2364","20230503","1620.00","0.10","0","5109","-1","3","2","4914"
"m_SKQuoteLib_OnNotifyQuote","2023/05/03 05:26:38.470455","TXO16100E3","台選05C","000000","000000","000000.000000","16.00","1","-5.00","-23.81","15.00","1","17.00","3","22.00","1.00","22.00","-6.00","14.00","2.00","8.00","21.00","21.00","1.00","0","551","20230503","1580.00","0.10","0","5113","-1","3","2","1991"
"m_SKQuoteLib_OnNotifyQuote","2023/05/03 05:26:38.470455","TXO16300E3","台選05C","000000","000000","000000.000000","7.40","1","-0.90","-10.84","6.60","2","7.30","2","8.60","0.30","9.10","-1.70","6.10","1.30","3.00","8.30","9.00","-0.40","0","276","20230503","1570.00","0.10","0","5117","-1","3","2","1080"
"m_SKQuoteLib_OnNotifyQuote","2023/05/03 05:26:38.470455","TXO15100Q3","台選05P","000000","000000","000000.000000","50.00","1","16.50","49.25","49.50","1","53.00","1","35.00","1.50","60.00","-10.00","28.00","22.00","32.00","33.50","37.00","-2.00","0","1517","20230503","1590.00","0.10","0","5092","-1","3","2","3315"
"m_SKQuoteLib_OnNotifyQuote","2023/05/03 05:26:38.470455","TXO15300Q3","台選05P","000000","000000","000000.000000","88.00","2","26.00","41.94","87.00","4","94.00","2","58.00","-4.00","103.00","-15.00","58.00","30.00","45.00","62.00","67.00","-9.00","0","1678","20230503","1620.00","0.10","0","5096","-1","3","2","4633"
"m_SKQuoteLib_OnNotifyQuote","2023/05/03 05:26:38.470455","TXO15500Q3","台選05P","000000","000000","000000.000000","150.00","1","39.00","35.14","151.00","2","163.00","1","104.00","-7.00","176.00","-26.00","104.00","46.00","72.00","111.00","118.00","-14.00","0","1096","20230503","1670.00","0.10","0","5100","-1","3","2","4263"
"m_SKQuoteLib_OnNotifyQuote","2023/05/03 05:26:38.470455","TXO15700Q3","台選05P","000000","000000","000000.000000","252.00","5","56.00","28.57","251.00","1","265.00","1","182.00","-14.00","285.00","-33.00","180.00","72.00","105.00","196.00","203.00","-21.00","0","397","20230503","1750.00","0.10","0","5104","-1","3","2","1150"
"m_SKQuoteLib_OnNotifyQuote","2023/05/03 05:26:38.470455","TXO15900Q3","台選05P","000000","000000","000000.000000","395.00","1","72.00","22.29","365.00","1","0.00","0","324.00","1.00","425.00","-30.00","317.00","78.00","108.00","323.00","335.00","-11.00","0","49","20230503","1880.00","0.10","0","5108","-1","3","2","298"
"m_SKQuoteLib_OnNotifyQuote","2023/05/03 05:26:38.470455","TXO16100Q3","台選05P","000000","000000","000000.000000","575.00","3","83.00","16.87","23.00","6","920.00","1","489.00","-3.00","585.00","-10.00","488.00","87.00","97.00","492.00","510.00","-21.00","0","7","20230503","2050.00","0.10","0","5112","-1","3","2","42"
"m_SKQuoteLib_OnNotifyQuote","2023/05/03 05:26:38.475456","TXO16300Q3","台選05P","000000","000000","000000.000000","770.00","2","95.00","14.07","620.00","2","2220.00","2","710.00","35.00","770.00","0.00","710.00","60.00","60.00","675.00","695.00","15.00","0","5","20230503","2230.00","0.10","0","5116","-1","3","2","26"
