建立者,時間,更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,筆數,索引,Page,市場,小數位數,昨量
"CreateOrUpdate","2022/06/08 08:35:58.579998","m_SKQuoteLib_OnNotifyQuote","2022/06/08 13:33:15.283508","TSEA","加權指","000000","000000","000000.000000","16670.51","16879","157.63","0.95","0.00","0","0.00","0","16538.67","25.79","16702.99","-32.48","16538.67","131.84","164.32","16512.88","16512.88","25.79","0","208993","20220608","18164.17","14861.59","0","30175","-1","0","2","187650"
"CreateOrUpdate","2022/06/08 08:35:58.585999","m_SKQuoteLib_OnNotifyQuote","2022/06/08 13:45:00.956876","0050","元大台灣50","000000","000000","000000.000000","128.80","98","1.40","1.10","128.75","25","128.80","26","128.50","1.10","129.10","-0.30","128.15","0.65","0.95","127.40","127.40","1.10","0","3961","20220608","140.10","114.70","0","0","-1","0","2","4807"
"CreateOrUpdate","2022/06/08 08:35:58.586999","m_SKQuoteLib_OnNotifyQuote","2022/06/08 13:45:01.159998","00632R","元大台灣50反1","000000","000000","000000.000000","5.45","4427","-0.06","-1.09","5.45","22864","5.46","1012","5.48","-0.03","5.48","-0.03","5.44","0.01","0.04","5.51","5.51","-0.03","0","155045","20220608","6.06","4.96","0","16","-1","0","2","83417"
"CreateOrUpdate","2022/06/08 08:35:58.588998","m_SKQuoteLib_OnNotifyQuote","2022/06/08 13:44:01.180512","UN2206","那斯達克2206","000000","000000","000000.000000","12667.00","2","186.00","1.49","12660.00","2","12673.00","1","12692.00","211.00","12708.00","-41.00","12642.00","25.00","66.00","12481.00","12692.00","0.00","0","6035","20220608","13354.00","11608.00","0","47","-1","2","2","979"
"CreateOrUpdate","2022/06/08 08:35:58.590999","m_SKQuoteLib_OnNotifyQuote","2022/06/08 13:45:00.066242","TX07","台指07","000000","000000","000000.000000","16185.00","1","159.00","0.99","16187.00","4","16189.00","1","16116.00","90.00","16233.00","-48.00","16115.00","70.00","118.00","16026.00","16111.00","5.00","0","2032","20220608","17628.00","14424.00","0","2","-1","2","2","1814"
"CreateOrUpdate","2022/06/08 08:35:58.591998","m_SKQuoteLib_OnNotifyQuote","2022/06/08 13:45:00.050616","MTX07","小台07","000000","000000","000000.000000","16186.00","1","160.00","1.00","16184.00","7","16188.00","5","16111.00","85.00","16231.00","-45.00","16108.00","78.00","123.00","16026.00","16113.00","-2.00","0","8620","20220608","17628.00","14424.00","0","9","-1","2","2","5930"
"CreateOrUpdate","2022/06/08 08:35:58.607999","m_SKQuoteLib_OnNotifyQuote","2022/06/08 13:45:09.785079","2330","台積電","133000","000000","133000.000000","544.00","3930","9.00","1.68","543.00","29","544.00","661","539.00","4.00","545.00","-1.00","538.00","6.00","7.00","535.00","535.00","4.00","0","18787","20220608","588.00","481.50","6026","29327","0","0","2","19474"
"CreateOrUpdate","2022/06/08 08:35:58.608999","m_SKQuoteLib_OnNotifyQuote","2022/06/08 13:43:53.664836","UD06","道瓊06","134342","827000","134342.827000","33106.00","1","412.00","1.26","33106.00","1","33110.00","1","33121.00","427.00","33159.00","-53.00","33044.00","62.00","115.00","32694.00","33118.00","3.00","0","1986","20220608","34982.00","30406.00","1845","42","1","2","2","437"
"CreateOrUpdate","2022/06/08 08:35:58.609999","m_SKQuoteLib_OnNotifyQuote","2022/06/08 13:45:00.050616","TX06","台指06","134459","319000","134459.319000","16644.00","1","183.00","1.11","16644.00","4","16645.00","2","16560.00","99.00","16693.00","-49.00","16555.00","89.00","138.00","16461.00","16557.00","3.00","0","135159","20220608","18107.00","14815.00","64238","1","2","2","2","101337"
"CreateOrUpdate","2022/06/08 08:35:58.610999","m_SKQuoteLib_OnNotifyQuote","2022/06/08 13:45:00.050616","MTX06","小台06","134459","980000","134459.980000","16643.00","1","182.00","1.11","16642.00","4","16643.00","6","16560.00","99.00","16693.00","-50.00","16556.00","87.00","137.00","16461.00","16557.00","3.00","0","246401","20220608","18107.00","14815.00","132919","8","3","2","2","172098"
