建立者,時間,更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"CreateQuote","2022/04/11 08:31:49.080169","UpdateQuote","2022/04/11 09:36:05.614749","UD06","道瓊06","093605","522000","093605.522000","34566.00","1","94.00","0.27","34566.00","1","34567.00","1","34569.00","97.00","34817.00","-251.00","34383.00","183.00","434.00","34472.00","34664.00","-95.00","0","2018","20220411","36885.00","32059.00","4211","1","2","2","245"
"CreateQuote","2022/04/11 08:31:49.081170","UpdateQuote","2022/04/11 09:36:04.124478","UN2206","那斯達克2206","093424","168000","093424.168000","14282.00","3","-270.00","-1.86","14278.00","22","14280.00","2","14605.00","53.00","14644.00","-362.00","14281.00","1.00","363.00","14552.00","14333.00","272.00","0","4693","20220411","15570.00","13534.00","4216","2","2","2","579"
"CreateQuote","2022/04/11 08:31:49.081170","UpdateQuote","2022/04/11 09:36:06.368962","TX05","台指05","093606","021000","093606.021000","17171.00","1","-107.00","-0.62","17167.00","29","17171.00","11","17300.00","22.00","17352.00","-181.00","17158.00","13.00","194.00","17278.00","17200.00","100.00","0","1293","20220411","19005.00","15551.00","4171","3","2","2","940"
"CreateQuote","2022/04/11 08:31:49.082170","UpdateQuote","2022/04/11 09:36:06.368962","MTX05","小台05","093605","597000","093605.597000","17170.00","6","-108.00","-0.63","17169.00","4","17172.00","14","17299.00","21.00","17354.00","-184.00","17158.00","12.00","196.00","17278.00","17197.00","102.00","0","6961","20220411","19005.00","15551.00","4178","4","2","2","4363"
"CreateQuote","2022/04/11 08:31:49.078169","UpdateQuote","2022/04/11 09:36:38.984897","TSEA","加權指","000000","000000","000000.000000","17244.28","82","-40.26","-0.23","0.00","0","0.00","0","17273.05","-11.49","17316.35","-72.07","17216.99","27.29","99.36","17284.54","17284.54","-11.49","0","87667","20220411","19012.99","15556.09","30001","-1","0","2","246209"
"CreateQuote","2022/04/11 08:31:49.078169","UpdateQuote","2022/04/11 09:36:39.710435","0050","元大台灣50","000000","000000","000000.000000","133.90","1","-0.65","-0.48","133.80","13","133.90","103","134.15","-0.40","134.45","-0.55","133.70","0.20","0.75","134.55","134.55","-0.40","0","2325","20220411","148.00","121.10","0","-1","0","2","8930"
"CreateQuote","2022/04/11 08:31:49.079169","UpdateQuote","2022/04/11 09:36:39.501540","00632R","元大台灣50反1","000000","000000","000000.000000","5.33","10","0.02","0.38","5.33","19573","5.34","5865","5.33","0.02","5.35","-0.02","5.31","0.02","0.04","5.31","5.31","0.02","0","25543","20220411","5.84","4.78","17","-1","0","2","135556"
"CreateQuote","2022/04/11 08:31:49.079169","UpdateQuote","2022/04/11 09:36:41.366088","TX06","台指06","000000","000000","000000.000000","17138.00","1","-106.00","-0.61","17138.00","1","17143.00","10","17273.00","29.00","17315.00","-177.00","17127.00","11.00","188.00","17244.00","17162.00","111.00","0","168","20220411","18968.00","15520.00","4172","-1","2","2","77"
"CreateQuote","2022/04/11 08:31:49.080169","UpdateQuote","2022/04/11 09:36:41.364179","MTX06","小台06","000000","000000","000000.000000","17140.00","1","-104.00","-0.60","17137.00","14","17143.00","2","17258.00","14.00","17319.00","-179.00","17126.00","14.00","193.00","17244.00","17165.00","93.00","0","895","20220411","18968.00","15520.00","4179","-1","2","2","570"
"CreateQuote","2022/04/11 08:31:49.080169","UpdateQuote","2022/04/11 09:36:41.402201","2330","台積電","093626","249940","093626.249940","565.00","1","-2.00","-0.35","565.00","24","566.00","591","563.00","-4.00","566.00","-1.00","562.00","3.00","4.00","567.00","567.00","-4.00","0","6576","20220411","623.00","511.00","29157","0","0","2","27971"
